Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_TEM,adult_SEM,standard deviation,median absolute deviation,daf2-dauer,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
ADA,AVA,ADA,AVA,16.197902162814444,2.7777777777777777,3.278688524590164,13.846153846153848,3.4090909090909087,5.714285714285714,5.932317954047092,1.533455160504341,21.62162162162162,-0.4830162200346737,-0.0579771035652448,0.3318206395721034,0.9131317851623264,stable,Y
ADA,AVB,ADA,AVB,29.406850459482037,27.77777777777778,34.42622950819672,38.46153846153847,31.818181818181817,43.80952380952381,6.006753410872176,4.527344001028217,37.83783783783784,0.6215475385572711,0.6957252427829381,0.1877372319835922,0.124789337440287,stable,Y
ADA,AVJ,ADA,AVJ,12.582381880627494,13.88888888888889,11.475409836065571,12.307692307692308,11.363636363636363,17.142857142857142,2.168532150140258,1.0255139943089322,2.702702702702702,0.3122072387444791,-0.1739313106957345,0.5469050861598613,0.7417339277316277,stable,Y
ADA,RIM,ADA,RIM,14.443516197902165,13.88888888888889,16.39344262295082,12.307692307692308,14.772727272727272,10.476190476190476,2.065149275750392,1.2325174825174825,13.513513513513514,-0.4167397125242668,-0.2608969660436018,0.411078438388837,0.6175338174259972,stable,Y
ADA,RIP,ADA,RIP,1.2345679012345678,11.11111111111111,6.557377049180328,7.6923076923076925,9.090909090909092,12.38095238095238,3.94988588611793,2.276867030965392,5.405405405405405,0.6891760544430323,0.6087595874350709,0.129902699983561,0.1996601894603625,developmentally dynamic (strengthened),Y
ADE,ADA,ADE,ADA,18.98148148148148,0.0,2.857142857142857,5.769230769230769,1.3986013986013983,1.6,7.0729647357406416,1.5292707292707295,0.0,-0.6376754717671373,-0.347862621391469,0.1731357832170537,0.4992532181146331,stable,Y
ADE,ADE,ADE,ADE,11.111111111111107,0.0,5.714285714285714,7.6923076923076925,6.293706293706294,5.6000000000000005,3.6135037940010575,1.046153846153846,0.0,-0.1558206698292935,-0.2029198624783569,0.7681606645099033,0.699797968157019,variable,Y
ADE,RIG,ADE,RIG,12.037037037037038,25.0,22.857142857142858,19.230769230769237,23.776223776223777,27.200000000000003,5.408475030484283,2.783316683316684,0.0,0.7077983325229633,0.550782483869826,0.1155983674334372,0.2573693316225745,developmentally dynamic (strengthened),Y
ADF,AIZ,ADF,AIZ,33.98297491039427,24.489795918367346,23.28767123287671,19.642857142857142,16.8141592920354,30.392156862745097,6.4551738112101695,5.374649859943977,14.814814814814811,-0.4265775186098853,-0.550782483869826,0.3989455319565814,0.2573693316225745,stable,Y
ADF,AUA,ADF,AUA,11.90636200716846,8.16326530612245,10.95890410958904,12.5,11.50442477876106,2.941176470588235,3.621700373917243,0.9715165594091788,0.0,-0.4549445343562454,-0.2319084142609793,0.3646641639028677,0.6583735712609271,stable,Y
