Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_TEM,adult_SEM,standard deviation,median absolute deviation,daf2-dauer,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
ADA,RIC,ADA,RIC,0.1179489490526537,0.0720201656463809,0.097181729834791,0.0224416517055655,0.0401767778224186,0.0125470514429109,0.0422836230130369,0.0373700390646127,0.0,-0.8075323207768756,-0.8406680016960504,0.0520008434843646,0.0360575728451591,stable,Y
ADA,RIM,ADA,RIM,0.200121729288203,0.1800504141159524,0.2429543245869776,0.1795332136445242,0.1740993705638141,0.13801756587202,0.0345372979462492,0.0130111793621944,0.2529084471421345,-0.5838878689265613,-0.8116794499134278,0.2236991951606578,0.0498575851013404,stable,Y
ADE,RIG,ADE,RIG,0.0671044896191094,0.1440403312927619,0.1943634596695821,0.2244165170556553,0.4553368153207446,0.4265997490589712,0.1560483186527882,0.1038175779066829,0.0,0.9948589980219684,0.9856107606091624,3.957691391965596e-05,0.0003090856678496,developmentally dynamic (strengthened),Y
ADF,AIZ,ADF,AIZ,0.572154595746998,0.4321209938782859,0.4130223517978619,0.2468581687612208,0.2544529262086514,0.3889585947302383,0.1217972671200654,0.0888340338348172,0.2023267577137076,-0.6937059701534714,-0.8116794499134278,0.1263564037164852,0.0498575851013404,stable,Y
ADL,ASH,ADL,ASH,0.0156641604010025,0.1440403312927619,0.1457725947521866,0.0673249551166965,0.147314852015535,0.150564617314931,0.0568818131886687,0.0040332716427587,0.0,0.6486223024130585,0.8116794499134278,0.1635077798265932,0.0498575851013404,developmentally dynamic (strengthened),Y
ADL,ASK,ADL,ASK,0.3876970268597974,0.3240907454087144,0.1457725947521866,0.1122082585278276,0.026784518548279,0.0627352572145545,0.146165619736183,0.0842305387585903,0.1517450682852807,-0.9171651345244114,-0.9856107606091624,0.0100082319323561,0.0003090856678496,developmentally dynamic (weakened),Y
ADL,SMBV,ADL,SMBV,0.0175901495162708,0.0,0.0242954324586977,0.0224416517055655,0.0803535556448372,0.1254705144291091,0.0478314370934698,0.0145734673239962,0.0,0.8764763747649487,0.8696565534786727,0.0219447619389229,0.0243768916856907,variable,Y
AIA,AIB,AIA,AIB,0.5238005638220115,0.6121714079942384,0.5102040816326531,0.4712746858168761,0.3348064818534887,0.439146800501882,0.092848968193847,0.0423268816600647,0.3034901365705614,-0.8021062616673569,-0.9276336570439174,0.0548679469775255,0.0076658441874731,stable,Y
AIA,ASK,AIA,ASK,0.2848163684235834,0.1800504141159524,0.0485908649173955,0.0897666068222621,0.0669612963706977,0.0376411543287327,0.0962862352881471,0.0352479419734158,0.0,-0.812882654107604,-0.7826908981308054,0.0492435911346457,0.065703848071589,stable,Y
AIA,RIF,AIA,RIF,0.1844575688872005,0.0720201656463809,0.0728862973760933,0.044883303411131,0.0401767778224186,0.0376411543287327,0.0556937181666116,0.0163547597768373,0.0505816894284269,-0.800033633606088,-0.9276336570439174,0.0559818392101948,0.0076658441874731,stable,Y
AIB,AVB,AIB,AVB,0.3594550033509128,0.3240907454087144,0.2429543245869776,0.2917414721723518,0.2276684076603723,0.1756587202007528,0.0675632994985037,0.048211168874171,0.1011633788568538,-0.9094638261685196,-0.9276336570439174,0.0119241447588223,0.0076658441874731,stable,Y
AIB,SMDD,AIB,SMDD,0.3024065179398543,0.1800504141159524,0.1943634596695821,0.2019748653500897,0.0803535556448372,0.13801756587202,0.0739126327662392,0.0319786497390348,0.1011633788568538,-0.8980960224114233,-0.753702346348183,0.0150475240880486,0.0835232813732598,stable,Y
AIN,AFD,AIN,AFD,0.341864853834642,0.3240907454087144,0.2429543245869776,0.2019748653500897,0.2142761483862327,0.2132998745294856,0.0610920597098154,0.0209778665468175,0.2529084471421345,-0.8154082500424038,-0.8116794499134278,0.0479662710487876,0.0498575851013404,stable,Y
AIN,AUA,AIN,AUA,0.210177733496254,0.1440403312927619,0.1943634596695821,0.1346499102333931,0.0937458149189768,0.0627352572145545,0.0566295401768486,0.0503088223753026,0.1011633788568538,-0.8996608279876277,-0.9276336570439174,0.0145968193048501,0.0076658441874731,stable,Y
AIN,RIB,AIN,RIB,0.0671044896191094,0.1080302484695714,0.1214771622934888,0.1570915619389587,0.2008838891120932,0.1631116687578419,0.0471786936846191,0.0275407101441352,0.0505816894284269,0.9298776200041848,0.9856107606091624,0.0072033211979599,0.0003090856678496,stable,Y
AIY,AIZ,AIY,AIZ,0.6048130358797087,0.5041411595246669,0.5587949465500486,0.4712746858168761,0.3481987411276282,0.288582183186951,0.1221873766289239,0.0940960685441071,0.2529084471421345,-0.9505131312385708,-0.9276336570439174,0.0036128298316405,0.0076658441874731,stable,Y
AIY,RIA,AIY,RIA,0.2610221929297983,0.2160604969391429,0.2429543245869776,0.1570915619389587,0.147314852015535,0.0752823086574655,0.0697456259564933,0.0478197362857213,0.2023267577137076,-0.8828969057468048,-0.9276336570439174,0.0197667767738246,0.0076658441874731,stable,Y
AIY,RIB,AIY,RIB,0.3808971310977205,0.2880806625855239,0.1943634596695821,0.1570915619389587,0.1607071112896745,0.150564617314931,0.0932219432199886,0.0237071958526834,0.1517450682852807,-0.8468301390642132,-0.898645105261295,0.0333947499125099,0.0148886220055803,stable,Y
AIZ,AVE,AIZ,AVE,0.2183077485890366,0.1800504141159524,0.1943634596695821,0.2468581687612208,0.3214142225793491,0.2509410288582183,0.050618065989293,0.028288784594318,0.0505816894284269,0.7496913944325063,0.8116794499134278,0.0861401295310431,0.0498575851013404,stable,Y
ALA,AVE,ALA,AVE,0.1512032589699271,0.1440403312927619,0.097181729834791,0.0673249551166965,0.0937458149189768,0.0501882057716436,0.0403856238041652,0.0367071919327138,0.0,-0.7872238753722902,-0.898645105261295,0.0630939398122402,0.0148886220055803,stable,Y
ALM,PVC,ALM,PVC,0.0,0.0720201656463809,0.0485908649173955,0.2019748653500897,0.1607071112896745,0.2132998745294856,0.0880815844462985,0.0766920002163471,0.2023267577137076,0.8194208425990621,0.8406680016960504,0.0459690104203423,0.0360575728451591,developmentally dynamic (strengthened),Y
AQR,RIA,AQR,RIA,0.0,0.0360100828231904,0.0485908649173955,0.1122082585278276,0.1339225927413954,0.2132998745294856,0.0779130008647411,0.0489562549591024,0.0505816894284269,0.92512707537661,0.9856107606091624,0.0081990651453389,0.0003090856678496,post-embryonic brain integration,Y
ASE,AIB,ASE,AIB,0.8882992849725865,0.6481814908174289,0.6316812439261419,0.4937163375224416,0.5356903709655819,0.4642409033877039,0.1547044758064374,0.0772325766474936,0.4552352048558422,-0.833788690138445,-0.898645105261295,0.039143405883993,0.0148886220055803,stable,Y
ASE,AIY,ASE,AIY,1.0344902575341248,0.7562117392870004,0.923226433430515,0.718132854578097,0.6294361858845587,0.6148055207026348,0.1671100999796172,0.1150514436389519,0.9104704097116844,-0.8665121172990999,-0.9276336570439174,0.0255392109613531,0.0076658441874731,stable,Y
ASE,AIZ,ASE,AIZ,0.0433103141253243,0.0360100828231904,0.097181729834791,0.0224416517055655,0.0133922592741395,0.0125470514429109,0.0317126878691602,0.0149590274255924,0.2023267577137076,-0.5072178407567742,-0.8116794499134278,0.3044191900822592,0.0498575851013404,stable,Y
ASG,AIA,ASG,AIA,0.4441496424862932,0.4681310767014764,0.4130223517978619,0.2917414721723518,0.3883755189500468,0.2383939774153074,0.0901847929807631,0.0554414242199304,0.1517450682852807,-0.6703759973000813,-0.8406680016960504,0.1450708239393054,0.0360575728451591,stable,Y
ASG,AIB,ASG,AIB,0.0332543099172733,0.0360100828231904,0.0485908649173955,0.1346499102333931,0.0937458149189768,0.0501882057716436,0.0400184318661108,0.0147573389742876,0.0,0.3841219572295849,0.8116794499134278,0.4521555997115721,0.0498575851013404,stable,Y
ASH,ADA,ASH,ADA,0.1336131094536562,0.1440403312927619,0.1214771622934888,0.1122082585278276,0.0803535556448372,0.0627352572145545,0.0314979910176015,0.0219840099625508,0.0505816894284269,-0.93615657025932,-0.9276336570439174,0.0059838628978044,0.0076658441874731,stable,Y
ASI,AIA,ASI,AIA,0.0570484854110585,0.0360100828231904,0.097181729834791,0.1122082585278276,0.1607071112896745,0.13801756587202,0.0473856214306555,0.0404845402304807,0.0505816894284269,0.906576258735469,0.9276336570439174,0.0126842921543009,0.0076658441874731,stable,Y
ASI,AIB,ASI,AIB,0.0514403292181069,0.0360100828231904,0.0485908649173955,0.0897666068222621,0.1607071112896745,0.1631116687578419,0.0573513671344876,0.0283029941498915,0.0,0.9325846550733676,0.8116794499134278,0.0066640474990793,0.0498575851013404,variable,Y
ASI,ASG,ASI,ASG,0.0156641604010025,0.0360100828231904,0.0242954324586977,0.0673249551166965,0.0669612963706977,0.1003764115432873,0.0320692183752465,0.0215147613289994,0.2023267577137076,0.8696003046688777,0.8406680016960504,0.0243974573526136,0.0360575728451591,developmentally dynamic (strengthened),Y
ASJ,PVQ,ASJ,PVQ,0.4611439222180014,0.5401512423478574,0.3887269193391642,0.3590664272890485,0.3214142225793491,0.3387703889585947,0.0837783355749444,0.0438043675451344,0.5058168942842691,-0.7917243623071215,-0.9276336570439174,0.0605507443858198,0.0076658441874731,stable,Y
