Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_TEM,adult_SEM,standard deviation,median absolute deviation,daf2-dauer,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
ADA,AVA,ADA,AVA,0.2258418938972565,0.0360100828231904,0.0485908649173955,0.2019748653500897,0.0401767778224186,0.0752823086574655,0.0860615210196274,0.0238431564646259,0.4046535154274153,-0.4954914951570682,-0.2029198624783569,0.3175872670889141,0.699797968157019,stable,Y
ADA,AVB,ADA,AVB,0.4102994627844571,0.3601008282319049,0.5102040816326531,0.5610412926391383,0.3749832596759073,0.5771643663739021,0.0958590468797331,0.0927097282546489,0.7081436519979768,0.3077562569610799,0.4348282767393363,0.5529400143394027,0.3888653001289578,stable,Y
ADA,AVJ,ADA,AVJ,0.1749974344637122,0.1800504141159524,0.1700680272108843,0.1795332136445242,0.1339225927413954,0.2258469259723965,0.029354709884346,0.004991193452534,0.0505816894284269,0.0624615216590556,0.0,0.906429562503664,1.0,stable,Y
ADA,RIP,ADA,RIP,0.0156641604010025,0.1440403312927619,0.097181729834791,0.1122082585278276,0.1071380741931163,0.1631116687578419,0.0509609831802616,0.0234293007289854,0.1011633788568538,0.6392905440715149,0.5217939320872036,0.1717007771863279,0.2883432338003937,developmentally dynamic (strengthened),Y
ADE,ADA,ADE,ADA,0.0941547735588686,0.0,0.0242954324586977,0.0673249551166965,0.026784518548279,0.0250941028858218,0.0344149484257668,0.0137915944877015,0.0,-0.4319458537843125,-0.0579771035652448,0.3923768477482318,0.9131317851623264,stable,Y
ADE,ADE,ADE,ADE,0.0489184703182759,0.0,0.0485908649173955,0.0897666068222621,0.1205303334672559,0.0878293601003764,0.0423456357703564,0.0205878709524332,0.0,0.7533655241398903,0.7247137945655605,0.083741636440255,0.1032428046237076,variable,Y
ADE,AVA,ADE,AVA,0.168793408486198,0.1440403312927619,0.097181729834791,0.1122082585278276,0.1607071112896745,0.1129234629861982,0.0292857849999608,0.0237869029581707,0.1011633788568538,-0.22682243604725,-0.2608969660436018,0.6656011736225539,0.6175338174259972,stable,Y
ADF,AUA,ADF,AUA,0.2026435881880341,0.1440403312927619,0.1943634596695821,0.1570915619389587,0.1740993705638141,0.0376411543287327,0.0600238192505895,0.02516156418841,0.0,-0.6056673697410428,-0.5217939320872036,0.2025883232357528,0.2883432338003937,stable,Y
ADF,RIA,ADF,RIA,0.3513249882581302,0.5401512423478574,0.4859086491739553,0.4263913824057451,0.4687290745948842,0.3638644918444165,0.0732203613277927,0.0610220786647693,0.0505816894284269,-0.0530068480293602,-0.0289885517826224,0.9205641953138596,0.9565293523898406,stable,Y
ADF,RIG,ADF,RIG,0.0,0.0360100828231904,0.097181729834791,0.1122082585278276,0.1205303334672559,0.0878293601003764,0.0474488041092352,0.023863751029958,0.0,0.7728586478480808,0.753702346348183,0.0715303168788,0.0835232813732598,developmentally dynamic (strengthened),Y
