Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_SEM,standard deviation,median absolute deviation,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
AWA,ADL,AWA,ADL,73.13591182388733,69.06348534003045,68.53685925462294,29.840334124083927,14.094652881101965,27.08110050011972,4.599052569264387,-0.8872257226999594,-1.0,0.0446850809484815,1.4042654220543672e-24,developmentally dynamic (weakened),Y
AWA,AFD,AWA,AFD,0.0,4.27919398551703,13.152075312116832,27.78854092521141,28.32486431225361,13.076942501463035,13.152075312116832,0.8704582331367794,1.0,0.0548686756139126,1.4042654220543672e-24,developmentally dynamic (strengthened),Y
AIN,AFD,AIN,AFD,79.82871182556438,70.18918749814765,66.3476584387083,50.45723669421599,55.05342125610485,11.801581802727611,11.294237182603446,-0.8000382012758351,-0.8999999999999998,0.1040588562755752,0.0373860734684987,stable,Y
AIM,ASG,AIM,ASG,81.00312258753416,79.01305146029604,71.88895196305558,40.23332475244404,53.577116984938215,17.633003535154288,9.11417062447859,-0.6771336785786682,-0.8999999999999998,0.2092316449713207,0.0373860734684987,stable,Y
ADL,ASH,ADL,ASH,3.567171902162222,21.0828019480246,32.990684125484826,16.890084130029383,48.55677345140166,17.018536843343334,11.90788217746023,0.9003555194744308,0.7,0.037188929169915,0.1881204043741873,developmentally dynamic (strengthened),Y
ADL,ASK,ADL,ASK,36.39439460920318,23.955505968586245,19.932751664081614,10.032416728307489,11.116262852923622,10.75047073652335,8.816488811157996,-0.8485829414168343,-0.8999999999999998,0.0690999489604594,0.0373860734684987,developmentally dynamic (weakened),Y
ASJ,ASK,ASJ,ASK,8.570785022944875,10.439546703870592,13.459234556202157,15.73229811044732,23.10935001129619,5.6586855349744205,3.019687852331563,0.9899057995573712,1.0,0.001215578674865,1.4042654220543672e-24,stable,Y
AIM,ASK,AIM,ASK,4.081387670282927,6.243454896747465,10.915055905853006,10.461133361247454,21.90512014517974,6.879727348549664,4.217678464499989,0.98331352443442,0.8999999999999998,0.0025810164023048,0.0373860734684987,stable,Y
URX,AUA,URX,AUA,32.53847733338568,32.51832712835447,43.357762481964016,43.81044959286034,64.8117642579996,13.181588580989311,10.819285148578338,0.9658548744550588,0.8999999999999998,0.0075351169021655,0.0373860734684987,stable,Y
AIN,AUA,AIN,AUA,32.15017971771795,31.24963502577928,27.461745480461875,29.7676611826509,10.205534456982404,9.097267823641236,2.3059157021890258,-0.9189017936395848,-0.8999999999999998,0.0273839383324735,0.0373860734684987,stable,Y
AWA,AWB,AWA,AWB,77.05849357031418,65.99909220841602,46.344441495664746,61.5329165284059,34.68058751632776,16.699517074110666,15.188475032741152,-0.908145656722166,-0.8999999999999998,0.0329539401263375,0.0373860734684987,stable,Y
RIM,SAAD,RIM,SAAD,4.828741649027662,2.150257965765261,6.276066387279126,6.6974744329902745,14.559671646115753,4.635488383276049,1.4473247382514645,0.8887624760220721,0.8999999999999998,0.043785305598404,0.0373860734684987,stable,Y
SMBV,SAAD,SMBV,SAAD,46.627805777599775,42.14695014486136,43.168028558333184,39.88797149464308,26.34518007139322,7.816246303440016,2.258978650218289,-0.9597930615462054,-0.8999999999999998,0.0096194147986614,0.0373860734684987,stable,Y
RIM,SAAV,RIM,SAAV,14.855765967293358,19.225440073359284,23.31756009261468,24.693633247059815,24.85598488880407,4.301861961384313,1.5384247961893929,0.8411384513543297,1.0,0.0741707379348246,1.4042654220543672e-24,stable,Y
SMBD,SAAV,SMBD,SAAV,70.55341878049013,77.99229429993896,59.7852167858032,41.950744032389856,29.824305596867884,19.95205000300643,17.834472753413344,-0.8833515138938154,-0.8999999999999998,0.04697900752652,0.0373860734684987,stable,Y
ASI,AIA,ASI,AIA,0.2427069929468869,0.333406042588323,1.0635920267715635,1.5394729521685586,2.0594520347499934,0.7784543930823641,0.7301859841832408,0.9393571305100824,1.0,0.0177628651588597,1.4042654220543672e-24,stable,Y
AIM,AIA,AIM,AIA,8.586693069068332,5.938815411500275,7.339632055968385,5.3482207945149005,5.229027622341366,1.441830469637296,0.7097877891589084,-0.7602203397714262,-0.8999999999999998,0.135762556941805,0.0373860734684987,stable,Y
ASE,AIB,ASE,AIB,21.5409566456326,14.315946935149992,12.361891462150894,9.423132138923524,10.885898571066042,4.739755713736924,1.954055472999098,-0.763162958490042,-0.8999999999999998,0.1333349531823,0.0373860734684987,stable,Y
AWA,AIZ,AWA,AIZ,2.5712207775230915,12.436459161078895,12.88085369386339,14.99963339102995,15.069866321298392,5.1830548811131605,2.118779697166561,0.7729746332297835,1.0,0.1253352831807364,1.4042654220543672e-24,stable,Y
RIC,AVA,RIC,AVA,24.233267955024413,15.685897152508014,15.77445735719117,13.647678541005362,11.32027335025015,4.880623754677455,2.038218611502652,-0.8752735642268086,-0.8999999999999998,0.0518770086864509,0.0373860734684987,stable,Y
SDQ,AVB,SDQ,AVB,0.0,1.194623196392782,2.273838899122884,5.203316831105157,4.26389621003348,2.143971000684997,1.990057310910596,0.7871432202734222,0.8999999999999998,0.1140481586558421,0.0373860734684987,post-embryonic brain integration,Y
AIB,AVB,AIB,AVB,20.35481754821825,20.065374105348308,14.414951054808206,10.06458619160126,9.993565647141995,5.101342598987644,4.421385407666209,-0.8437033068145752,-1.0,0.0724111322263946,1.4042654220543672e-24,stable,Y
PVP,AVB,PVP,AVB,4.083512167785382,4.174421316273851,4.643345429652175,5.6775039960222,6.36022419001776,0.9946368781029856,0.5598332618667934,0.9301030880805666,1.0,0.0219489783332835,1.4042654220543672e-24,stable,Y
URX,AVE,URX,AVE,0.1074452378291245,1.4084410986704103,4.555759231469065,3.439240592302987,6.668436302105556,2.583240043111518,2.0307994936325766,0.945456599213966,0.8999999999999998,0.0151656749111985,0.0373860734684987,variable,Y
PVC,AVE,PVC,AVE,1.8519997358332008,3.3049890245512588,3.412140189635716,3.7051511178044434,3.807459450571261,0.7899334202422634,0.2930109281687274,0.8031932811895117,1.0,0.1016572392112621,1.4042654220543672e-24,stable,Y
RIF,AVJ,RIF,AVJ,41.58403840669326,32.55450435187734,23.106874104757416,27.377769766262936,10.60440929054633,11.485326168711865,5.176734585614405,-0.9717285234775932,-0.8999999999999998,0.0056820658285,0.0373860734684987,stable,Y
ALM,PVC,ALM,PVC,0.0,18.74703961309301,20.444397062501796,30.600586212693717,33.06283071389778,13.068543673407516,10.15618915019192,0.8787631819760322,1.0,0.0497423019570748,1.4042654220543672e-24,developmentally dynamic (strengthened),Y
AQR,RIA,AQR,RIA,0.0,0.1121136676072022,0.9487984210635694,3.690345323484437,2.537252743645617,1.6081520412989074,0.9487984210635694,0.6889814123716493,0.8999999999999998,0.1982143197392528,0.0373860734684987,post-embryonic brain integration,Y
AUA,RIA,AUA,RIA,8.427640738243733,9.101579321024523,8.585255934849119,10.294795510144644,11.530904893098851,1.3098638921695935,0.6739385827807904,0.9096117834445678,0.8999999999999998,0.0321754028410256,0.0373860734684987,stable,Y
AWB,RIA,AWB,RIA,0.0,0.0155373152918418,0.0298029326730471,1.949658186563256,1.7588911545478574,1.009660506252915,0.0298029326730471,0.7515996959566298,0.8999999999999998,0.142948249057169,0.0373860734684987,developmentally dynamic (strengthened),Y
IL2V,RIA,IL2V,RIA,0.2828381942805075,0.0,0.7333963148410546,0.4837528289047759,1.544605606018819,0.5881712415186843,0.2496434859362786,0.8850609899652235,0.7999999999999999,0.0459623403325744,0.1040880386618278,developmentally dynamic (strengthened),Y
AIA,RIF,AIA,RIF,78.76106313764996,73.20528558954985,70.25808307855702,44.74904185018077,61.68258481497967,13.254944405130964,8.502980059092934,-0.5470285057703053,-0.8999999999999998,0.3399936030361812,0.0373860734684987,stable,Y
URX,RIG,URX,RIG,53.81793031790443,58.31855836232962,46.83632799389954,42.37209761345094,26.39505653045892,12.349699357521631,6.981602324004889,-0.9287511720434226,-0.8999999999999998,0.0225841500256204,0.0373860734684987,stable,Y
PVP,RIG,PVP,RIG,5.438093720763834,6.1907092318998105,1.091456605007504,0.8528784875346385,0.4068660181725781,2.7791122943838986,0.6845905868349259,-0.7756940341892805,-0.8999999999999998,0.1231443304749229,0.0373860734684987,variable,Y
RIM,RIG,RIM,RIG,0.6291118873674294,1.852563520795618,0.3811791230650702,0.175051691084992,0.0344775086640559,0.7274947292508522,0.2479327643023592,-0.5369911739122302,-0.8999999999999998,0.3507334079519734,0.0373860734684987,variable,Y
RIR,RIG,RIR,RIG,0.0319594394376379,0.0,0.2538999599443959,1.0829212612571468,1.3376342738622635,0.6250068288795406,0.2538999599443959,0.8769672149425869,0.8999999999999998,0.050837415858202,0.0373860734684987,variable,Y
ADE,RIG,ADE,RIG,6.547858477694223,6.369658990919056,11.798318063640975,14.617290297268262,26.304581596479064,8.163666100587198,5.250459585946754,0.9660072124504586,0.8999999999999998,0.0074849194334275,0.0373860734684987,developmentally dynamic (strengthened),Y
IL2D,RIH,IL2D,RIH,2.8598981708920856,0.0,5.267752780296818,11.766848245370134,18.83975243617412,7.570580831061069,5.267752780296818,0.9029161157221062,0.8999999999999998,0.0357788938224592,0.0373860734684987,variable,Y
RIF,RIM,RIF,RIM,2.4661186636580763,3.2519897689389183,3.7534318943582825,8.51301423163473,7.971085063256293,2.829133810195429,1.2873132307002062,0.800897095992204,0.8999999999999998,0.1034033916360744,0.0373860734684987,stable,Y
RIS,RIM,RIS,RIM,1.0879126739717313,5.738527343265171,3.321092245282641,7.322504676329698,11.475107517644298,3.964744427834475,2.4174350979825303,0.9267993549734668,0.8999999999999998,0.0235114427643092,0.0373860734684987,stable,Y
IL1D,RIP,IL1D,RIP,9.377793210129695,8.701252424609425,7.023475868701847,8.772314065902693,3.152626582559243,2.5332770419328496,0.6765407855202721,-0.908675207689621,-0.7,0.0326720521095848,0.1881204043741873,stable,Y
IL1V,RIP,IL1V,RIP,14.03674223768615,12.274703368356258,7.462599559961215,7.201577558216879,6.829778793420964,3.347617901665469,0.6328207665402514,-0.8229367866427151,-1.0,0.0870245244686134,1.4042654220543672e-24,stable,Y
URAV,RIP,URAV,RIP,9.485708178664447,9.802084825816523,6.178152474281282,5.915703598861631,4.690689754382496,2.290441456247592,1.4874627198987858,-0.8666021070850651,-0.8999999999999998,0.0573021119538866,0.0373860734684987,stable,Y
DVA,RIR,DVA,RIR,19.041805896393427,16.336923050838173,11.41605218953536,7.980890224114227,1.7747095441184997,6.838617564873088,4.920870861302815,-0.9764566871446844,-1.0,0.0043211122044421,1.4042654220543672e-24,stable,Y
URX,RIR,URX,RIR,13.544793210774992,15.3960405724593,16.77751291858687,13.755984196207908,28.94128944086278,6.429334722362852,1.6400563762513922,0.8798199066606853,0.7,0.0491014798212101,0.1881204043741873,stable,Y
