Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_SEM,standard deviation,median absolute deviation,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
ASH,ADF,ASH,ADF,3.356795600687931,0.0,13.43558483846721,5.98388417325721,3.308709165788174,5.060935471760503,2.627088572569279,0.0669133355902472,0.0999999999999999,0.9148669143661144,0.8728885715695383,variable,Y
AWA,ADF,AWA,ADF,10.253002290200431,0.0,2.9645833203548007,6.467688228334617,5.043273963426934,3.836606515952807,2.078690643072133,-0.2159646790346105,-0.0999999999999999,0.7271779440836597,0.8728885715695383,variable,Y
AWB,ADF,AWB,ADF,35.18482958876708,67.93698686182289,60.08954006156229,50.76508471674382,68.76119831152553,13.975343455720658,8.671658249963244,0.6643108193429683,0.6,0.2213409294765194,0.2847569798652937,stable,Y
AVH,ADF,AVH,ADF,11.478979452471847,11.907850096960477,17.03993643132523,25.354166255100672,12.772281397209593,5.825949299253102,1.2933019447377454,0.1653350394771399,0.7,0.7904519382977453,0.1881204043741873,stable,Y
AVH,ADL,AVH,ADL,13.685265408481856,6.15506447207341,11.117912183328272,4.12477788674187,12.287212696288623,4.122525910361532,2.567353225153584,-0.0034460128699324,-0.3,0.995612408826146,0.6238376647810728,variable,Y
ASE,AFD,ASE,AFD,19.863119067116653,9.964698172669404,14.968868068830524,16.68058296151748,6.977506921644144,5.187049293075708,4.894250998286129,-0.7390279821904087,-0.6,0.1536198497499216,0.2847569798652937,stable,Y
AIY,AFD,AIY,AFD,0.0,3.759414095044901,0.7204064655606078,3.578917605919116,2.1870007376766774,1.6769593116402024,1.4665942721160694,0.3198386126135207,0.3,0.5998225365557178,0.6238376647810728,variable,Y
BDU,ALM,BDU,ALM,45.20754841177504,13.067066835969063,16.48563503084404,56.23640470745719,20.62480574990038,19.21164482137403,7.557738913931315,-0.2435956022895323,0.1999999999999999,0.6929397215994838,0.747060078104662,stable,Y
RIF,ALM,RIF,ALM,21.45911825489162,38.81977890809778,30.10376914229522,22.88006395597449,39.76780597496256,8.58796573506005,8.6446508874036,0.5695450709393136,0.6,0.3162094997585913,0.2847569798652937,variable,Y
ADL,ASE,ADL,ASE,11.677851168741936,0.0,23.20261887868719,18.705151959192545,9.90754616276802,8.89521543718142,7.027300790450608,0.0943835305465461,0.0999999999999999,0.8800058173508682,0.8728885715695383,variable,Y
AFD,ASE,AFD,ASE,0.320177211325909,0.0,4.476456083905276,0.8226025484647632,1.1872258936727718,1.8001228094688393,0.5024253371388542,0.1823166141695766,0.6,0.7691597564191399,0.2847569798652937,variable,Y
AWA,ASE,AWA,ASE,27.436738621543697,39.381175762265066,17.30806246531461,44.92192154497834,43.964473767172194,11.91027352385206,5.540745782713273,0.4910442316007751,0.6,0.4009066129609198,0.2847569798652937,stable,Y
AWC,ASE,AWC,ASE,11.583025297790796,33.828898449436764,17.034232284985702,8.054387501625875,8.727871710540786,10.657702157187105,3.5286377961649205,-0.3748068784652864,-0.6,0.5342024970997651,0.2847569798652937,stable,Y
AIZ,ASE,AIZ,ASE,6.289076094229877,0.0,10.458992209397897,15.031421484491185,8.860278538216892,5.546913778192778,2.571202443987016,0.3705221148141827,0.6,0.5392650395228046,0.2847569798652937,variable,Y
ASI,ASG,ASI,ASG,5.292731377926721,20.986948539703963,11.711423754413062,37.26507794936413,16.043773585673026,12.088990880963054,4.943174954030937,0.2937300764486306,0.4999999999999999,0.631460881145909,0.3910022189557705,developmentally dynamic (strengthened),Y
AIA,ASG,AIA,ASG,4.015143731080216,0.0,6.566873106709557,21.591470730748263,7.3436310866478465,8.170758748010945,2.551729375629341,0.3041478963476062,0.7999999999999999,0.6188031204824437,0.1040880386618278,variable,Y
AWB,ASH,AWB,ASH,0.0,12.308167301752022,1.5660412313631928,3.75519269684314,7.592572899004847,4.96141378769591,3.75519269684314,0.3200234274957381,0.3999999999999999,0.5995995908259955,0.5046315754686911,variable,Y
RIF,ASH,RIF,ASH,52.40418463738336,8.882522341970791,22.64884552262401,22.98959754178796,1.3006338783408924,19.5302147753181,13.76632318065322,-0.7814882578679622,-0.6,0.1185147993049043,0.2847569798652937,developmentally dynamic (weakened),Y
PVQ,ASJ,PVQ,ASJ,31.840601445975167,31.79648260884388,42.12068120863883,16.673139818581795,19.05690964189123,10.444987382163662,10.32419859979495,-0.5487811885809608,-0.6,0.3381267918784169,0.2847569798652937,stable,Y
AIA,ASK,AIA,ASK,31.925517918128943,17.067608819083585,29.902443172844457,23.031000103906365,13.506098877176258,7.946690129342009,6.871443068938092,-0.7125568537238535,-0.7,0.1768023320208956,0.1881204043741873,stable,Y
PVQ,ASK,PVQ,ASK,15.449614973320289,28.274178270633897,23.12776475130231,31.1108259115726,22.432430496496053,6.023462914576042,5.146413519331588,0.2846245157767014,0.3,0.642559067019203,0.6238376647810728,stable,Y
ADF,AUA,ADF,AUA,16.29537285785399,29.32467339186936,14.383520791053089,17.069185617344964,5.32616502022342,8.57569415575862,1.9118520668009025,-0.6658326430029633,-0.4999999999999999,0.2198939356045373,0.3910022189557705,stable,Y
RIB,AUA,RIB,AUA,2.302713054830549,0.0,2.257014753225202,2.838038428290496,5.555639869821061,1.984820743952947,0.5353253734599464,0.7808043701501612,0.7,0.1190584520660139,0.1881204043741873,variable,Y
RIR,AUA,RIR,AUA,2.680051533143262,0.0,2.3406887978974544,1.2819762202422975,0.8001523830298192,1.101709775149057,1.0587125776551567,-0.4158846885167146,-0.3999999999999999,0.4861662619214556,0.5046315754686911,variable,Y
AIY,AWA,AIY,AWA,5.685412052366458,0.0,37.88675610381338,32.53596944886772,36.63583641983904,18.20894890327989,5.350786654945665,0.7272568765854596,0.6,0.1638121578515241,0.2847569798652937,variable,Y
AIY,AWB,AIY,AWB,5.363090742560505,0.0,12.169395380026714,1.8255852143162052,4.847858610513478,4.650430404456195,3.022273396197273,0.0390302982525255,-0.0999999999999999,0.95031770095006,0.8728885715695383,variable,Y
AVH,AWB,AVH,AWB,12.288139494595889,28.899170501767845,34.26052432215382,20.163774293936584,13.005101654272329,9.697119001788156,7.875634799340696,-0.1764151163405311,0.0999999999999999,0.776551906288254,0.8728885715695383,stable,Y
ADL,AWC,ADL,AWC,15.803953069255508,9.531885078347942,21.10764441926281,11.93417906818286,15.395439466885865,4.390458855940797,3.461260398703004,0.0774978971070994,-0.0999999999999999,0.901425472754022,0.8728885715695383,stable,Y
ASE,AWC,ASE,AWC,17.500951843944122,11.819615499298774,12.413068101007635,16.15362390721796,12.289220291216534,2.6022935734378114,0.5934526017088633,-0.5010224454082068,-0.3,0.3898751961475932,0.6238376647810728,stable,Y
ASI,AWC,ASI,AWC,18.0280379439253,22.65341083662972,12.976818757711625,24.241194141010915,20.010150011742603,4.397959307695827,2.643260824887115,0.1272404268582235,0.3,0.8384306784209239,0.6238376647810728,stable,Y
AWC,AWC,AWC,AWC,23.31272763447143,28.800750997418444,27.49821373351888,28.853458660676377,21.736018964302488,3.3024971625782302,1.3552449271575,-0.3288736471351233,-0.0999999999999999,0.5889407700356433,0.8728885715695383,stable,Y
AIA,AWC,AIA,AWC,10.75127208458176,20.986319012910037,24.205452749100225,18.817544222911884,26.599180953499296,6.098672450545943,3.219133736190191,0.8215528422979712,0.7,0.0880273904845262,0.1881204043741873,stable,Y
AIN,BAG,AIN,BAG,36.641754731833245,52.74707718878703,27.226982206812465,36.85877291000855,24.977627374309684,10.949809882684036,9.41477252502078,-0.5708770389088015,-0.4999999999999999,0.3148163093850728,0.3910022189557705,stable,Y
RIB,BAG,RIB,BAG,17.932544270136233,11.669622691643417,16.727429894079098,30.879351724701504,19.55817514485115,7.085980520431334,1.6256308747149149,0.2760724550104075,0.6,0.6530111910753665,0.2847569798652937,stable,Y
RIG,BAG,RIG,BAG,17.18638641497022,18.63883353261592,13.046559475729635,10.716021594964728,23.96829846413345,5.14730039830376,4.139826939240583,0.4307083274907312,0.0999999999999999,0.469066777005957,0.8728885715695383,stable,Y
RIH,BAG,RIH,BAG,3.4901473907378238,0.0,19.59236645584089,3.760536783032426,3.962790813249621,7.682566737012658,0.2703893922946028,0.0465277443123698,0.6,0.9407804174061392,0.2847569798652937,variable,Y
RIB,DVA,RIB,DVA,12.0043097525781,0.0,3.4621531104330536,16.859146098576584,1.926818401812873,7.235116396189331,3.4621531104330536,-0.2895117807489537,0.0,0.6365983257477217,1.0,variable,Y
RIR,DVA,RIR,DVA,33.28625818972469,42.00433525294762,49.76632504367568,4.844178692737598,20.346804875781675,17.829739160671433,12.939453313943016,-0.4214567280907979,-0.4999999999999999,0.4797234509584495,0.3910022189557705,stable,Y
AVH,DVA,AVH,DVA,28.72561849596812,10.065987774652823,11.892666511017543,10.480079065896676,7.56999400623736,8.517270558846246,1.4125874451208666,-0.7555335224583798,-0.7,0.1396556812253789,0.1881204043741873,stable,Y
FLP,FLP,FLP,FLP,29.67745366092058,51.79670261242764,80.30777204138178,16.02730733272042,39.93661391665744,24.403609459225034,11.860088695770196,-0.003618583954674,-0.0999999999999999,0.995392685867817,0.8728885715695383,stable,Y
