Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_SEM,standard deviation,median absolute deviation,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
AWA,ADL,AWA,ADL,17.236627697394994,9.904027321876471,5.857871649014674,2.2323714212466426,2.387981911806093,6.268087130255426,3.625500227768032,-0.8468055824125483,-0.8999999999999998,0.0703004367396898,0.0373860734684987,developmentally dynamic (weakened),Y
AWA,AFD,AWA,AFD,0.0,1.806237911327612,8.43295249643621,7.30442448774829,14.052554546878572,5.602287588637984,5.498186576420678,0.9590230015852902,0.8999999999999998,0.0098959277408691,0.0373860734684987,developmentally dynamic (strengthened),Y
ADL,ASK,ADL,ASK,19.87562969317585,16.511137399816274,5.843176098879017,2.3519667978058147,1.809230400437236,8.369266723840964,4.033945698441781,-0.8467980157878816,-1.0,0.0703055612136133,1.4042654220543672e-24,developmentally dynamic (weakened),Y
AIA,ASK,AIA,ASK,16.273666302538683,9.800129620992308,11.738742667823317,6.042500994800182,3.3656964798384434,5.013805517761297,3.757628626192126,-0.9102647665420684,-0.8999999999999998,0.0318305835186418,0.0373860734684987,stable,Y
URX,AUA,URX,AUA,12.442633185652047,7.1845847102795135,12.728748377300796,12.803376387264285,15.328749316942131,2.9830169973493854,0.286115191648749,0.5863035874898022,0.8999999999999998,0.2987965447137986,0.0373860734684987,stable,Y
AIY,AWA,AIY,AWA,0.1358076129902095,0.0,0.8029531836191536,0.9362996101978938,1.4397495402564235,0.5947941292004065,0.63679635663727,0.9111411149021268,0.8999999999999998,0.031369688956606,0.0373860734684987,variable,Y
AWA,AWB,AWA,AWB,26.11095685327447,24.981335750083225,16.691793265564506,24.764438022695455,11.310187829364931,6.487227938790528,1.3465188305790114,-0.8425949226113927,-0.8999999999999998,0.0731699262529033,0.0373860734684987,stable,Y
ASI,AWC,ASI,AWC,40.616777242042645,44.31233658083302,38.0564535877451,37.245180435717074,32.11343255173655,4.494960950931614,2.560323654297548,-0.8492590685869534,-0.8999999999999998,0.0686449612955286,0.0373860734684987,stable,Y
AIA,AWC,AIA,AWC,3.514575549476286,9.099474279907408,15.20789095624461,15.82164489510113,17.484773240076013,5.812467427308614,2.276882283831404,0.8699281067704493,1.0,0.0552012443673804,1.4042654220543672e-24,stable,Y
AVH,DVA,AVH,DVA,5.777164370591069,4.4062492310052885,2.939712461613663,3.784358008072165,2.5536436323311955,1.277490982596766,0.8446455464585019,-0.8750081802119813,-0.8999999999999998,0.052040506501736,0.0373860734684987,stable,Y
CEPV,OLL,CEPV,OLL,19.173777866227677,19.506923330370192,17.05752109373316,13.472251447106876,11.00630902469394,3.7015804531057066,2.449402236637031,-0.9171986526991184,-0.8999999999999998,0.0282436690772688,0.0373860734684987,stable,Y
RIV,SAAD,RIV,SAAD,49.1899031368228,38.95650753437613,44.371703353280985,33.63993930331173,29.564991120722578,7.911009717750447,5.415195818904856,-0.8752957046132057,-0.8999999999999998,0.0518633757662041,0.0373860734684987,stable,Y
RIM,SAAV,RIM,SAAV,4.320373610292429,6.249915263246114,7.0574796944083085,9.52084971718332,8.459317886380962,2.0097700943395207,1.4018381919726537,0.7684351255280564,0.8999999999999998,0.1290181593133176,0.0373860734684987,stable,Y
SMBD,SAAV,SMBD,SAAV,38.51205399464833,38.32754810183922,31.30591163596157,32.998572502856106,18.711876203075484,8.069908651735446,5.328975598983114,-0.956323020998128,-0.8999999999999998,0.0108854607974118,0.0373860734684987,stable,Y
URB,URX,URB,URX,30.137705349718363,49.67617624062306,60.87605054407408,59.89408767722488,64.33893144989136,13.891212305424284,4.444843772666488,0.8371316449202766,0.8999999999999998,0.0769456082371657,0.0373860734684987,stable,Y
ADL,ADA,ADL,ADA,2.4828920645538397,3.4543500201571216,1.3841133225748612,0.9583038286328406,0.528849345585012,1.193012984833614,0.8552639769898492,-0.7682050564780657,-0.8999999999999998,0.1292056557159837,0.0373860734684987,variable,Y
