Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_SEM,standard deviation,median absolute deviation,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
ASH,ADF,ASH,ADF,0.0119194444662351,0.0,0.0785680663736383,0.0441881453203273,0.0184157918615712,0.0313023541260661,0.0184157918615712,0.1367470537183154,0.4999999999999999,0.8264324171746613,0.3910022189557705,variable,Y
AWA,ADF,AWA,ADF,0.0451361438951978,0.0,0.0173361697227308,0.0477608087064048,0.0280701261300577,0.0198826770646149,0.0170660177651401,-0.0310926466092279,0.1999999999999999,0.9604179924084958,0.747060078104662,variable,Y
AVH,ADF,AVH,ADF,0.052956678677144,0.0510051313871887,0.0996454469704852,0.1872284874702524,0.0710886524087711,0.0564987205057264,0.0200835210215824,0.2180851972999215,0.6,0.7245423668324797,0.2847569798652937,stable,Y
AVH,ADL,AVH,ADL,0.0384174352474155,0.0119145125981462,0.0091040486092204,0.0036610844140301,0.0226395064494227,0.0137526084151738,0.0082534281841161,-0.2875074417362999,-0.3999999999999999,0.6390418100982886,0.5046315754686911,variable,Y
ASE,AFD,ASE,AFD,0.0807245785786436,0.0567750419621118,0.091953868143971,0.0520209030357404,0.0376465036532806,0.0220860887227678,0.0191285383088311,-0.6849613652868991,-0.7,0.2019338327772949,0.1881204043741873,stable,Y
AIN,AFD,AIN,AFD,0.3197302938282613,0.3999111660425077,0.407574160429544,0.1573584702391256,0.2970357246102426,0.1012016380079888,0.0801808722142463,-0.2644120738743026,-0.4999999999999999,0.6673051534478531,0.3910022189557705,stable,Y
AIY,AFD,AIY,AFD,0.0,0.0214197047718456,0.0044254622887727,0.0111613920316778,0.0117997634664147,0.0081515049927839,0.006735929742905,0.293764138560999,0.3999999999999999,0.6314194252302966,0.5046315754686911,variable,Y
BDU,ALM,BDU,ALM,0.0296439134311991,0.0099825156811982,0.0309154260879912,0.0196117191632224,0.0274129973861381,0.0087448268804417,0.0035024287018531,0.1182308291723874,-0.0999999999999999,0.8498152843157473,0.8728885715695383,stable,Y
RIF,ALM,RIF,ALM,0.0141056583904351,0.0296561620565093,0.056453442536325,0.0079791265297875,0.0528564862362092,0.0219968543333334,0.0216770355267217,0.5504586365979763,0.1999999999999999,0.3363425190197292,0.747060078104662,variable,Y
ADL,ASE,ADL,ASE,0.0583824567451468,0.0,0.1037279670227951,0.0666669426548186,0.0349994059650687,0.0384766322878621,0.0233830507800781,-0.0615180776687229,0.0999999999999999,0.9217221834510672,0.8728885715695383,variable,Y
AFD,ASE,AFD,ASE,0.0013963110967157,0.0,0.0200121241260757,0.002931833809522,0.0041939951974229,0.0081513679050275,0.0015355227128063,0.1247465557516457,0.6,0.8415806691784614,0.2847569798652937,variable,Y
AWA,ASE,AWA,ASE,0.1322431998163353,0.2341598275548747,0.0773761850770964,0.1601060057740698,0.1553089372624205,0.0565371751357704,0.0230657374460852,-0.0217708571347197,0.0999999999999999,0.9722826736332024,0.8728885715695383,stable,Y
AWC,ASE,AWC,ASE,0.053762975562364,0.2011460773825275,0.0761520194747776,0.0287066039806585,0.0308320869960914,0.0714324571279631,0.0229308885662726,-0.3901019822485507,-0.6,0.516208955344929,0.2847569798652937,stable,Y
AIZ,ASE,AIZ,ASE,0.0315421359297873,0.0,0.0467572218748386,0.0535734174367135,0.0312998274676723,0.0206511182315503,0.0152150859450513,0.2128606085135068,0.1999999999999999,0.7310382514812828,0.747060078104662,variable,Y
ASI,ASG,ASI,ASG,0.0084764954898228,0.0400878571704718,0.0172602953231618,0.0747340849832832,0.0408672050012012,0.0257344262241324,0.02282756184731,0.4439934161284891,0.7999999999999999,0.4538553514899339,0.1040880386618278,developmentally dynamic (strengthened),Y
AIA,ASG,AIA,ASG,0.0064303939303309,0.0,0.0096782570205288,0.0433010984358707,0.0187059282199813,0.0168782677116726,0.0090276711994525,0.4172977154549135,0.7999999999999999,0.484530691438344,0.1040880386618278,variable,Y
AIM,ASG,AIM,ASG,0.1758433602343201,0.1509254151717746,0.1059499312273939,0.080686821997121,0.1364733185434668,0.0373884438288063,0.0305233873160728,-0.4067566419708521,-0.7,0.4967597266720995,0.1881204043741873,stable,Y
ADL,ASH,ADL,ASH,0.0051776485511214,0.0798197856091334,0.1044671143192594,0.0356967279402291,0.0839608391075772,0.0403849186611479,0.0246473287101259,0.5235251816816389,0.4999999999999999,0.3652697152758266,0.3910022189557705,developmentally dynamic (strengthened),Y
AWB,ASH,AWB,ASH,0.0,0.0465988950467394,0.0049589698632261,0.0079364964099863,0.0131285245347679,0.0185511308512016,0.0051920281247816,-0.0135471453709998,0.3999999999999999,0.9827517664068002,0.5046315754686911,variable,Y
RIF,ASH,RIF,ASH,0.1158130088924456,0.0336293549003754,0.0717190199939946,0.0485878816580612,0.0022489614534734,0.0425923624406529,0.0231311383359334,-0.8471045781323037,-0.7,0.0700980357204501,0.1881204043741873,developmentally dynamic (weakened),Y
PVQ,ASJ,PVQ,ASJ,0.0473025725218572,0.0647473201985999,0.0318617205448684,0.0090111644490813,0.0090881118952894,0.0242858357293378,0.022773608649579,-0.74948824761394,-0.7999999999999999,0.1447247836563785,0.1040880386618278,stable,Y
ASJ,ASK,ASJ,ASK,0.0751341362520524,0.1143953443020861,0.1002003099223007,0.0495749391277549,0.0772900985448562,0.0249635689122506,0.0229102113774445,-0.2150638929919118,-0.1999999999999999,0.7282979087056782,0.747060078104662,stable,Y
AIM,ASK,AIM,ASK,0.0364087102877503,0.0684150560180132,0.0812595976404709,0.0329646721636158,0.0732625060345821,0.0222166045730659,0.0128445416224577,0.4271929917415205,0.1999999999999999,0.4731099472397906,0.747060078104662,stable,Y
PVQ,ASK,PVQ,ASK,0.1423751644532494,0.3098251724788512,0.1721798655201137,0.0980350925181228,0.0750261155258503,0.092148613373004,0.0443400719351266,-0.5241214577774611,-0.7,0.3646230063205752,0.1881204043741873,stable,Y
ADF,AUA,ADF,AUA,0.0976495793703639,0.1648863772574561,0.0951214987061128,0.0964029100415516,0.0268133002311295,0.0488252878930837,0.0012814113354387,-0.7225893591829906,-0.7999999999999999,0.1679057656505945,0.1040880386618278,stable,Y
URX,AUA,URX,AUA,0.2035978308978561,0.1828436103282862,0.2867347576257879,0.2474315369028945,0.3262792810512722,0.0588127791735254,0.0438337060050383,0.8544015730738228,0.7999999999999999,0.0652152409723529,0.1040880386618278,stable,Y
RIR,AUA,RIR,AUA,0.0128896106665044,0.0,0.0154795080908917,0.0072403125143734,0.0040281752434197,0.0063280641770794,0.0056492981521309,-0.3403833753127064,-0.1999999999999999,0.5751310638487522,0.747060078104662,variable,Y
