Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_TEM,adult_SEM,standard deviation,median absolute deviation,daf2-dauer,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
ADA,RIC,ADA,RIC,0.1179489490526537,0.0720201656463809,0.097181729834791,0.0224416517055655,0.0401767778224186,0.0125470514429109,0.0422836230130369,0.0373700390646127,0.0,-0.8075323207768756,-0.8406680016960504,0.0520008434843646,0.0360575728451591,stable,Y
ADA,RIM,ADA,RIM,0.200121729288203,0.1800504141159524,0.2429543245869776,0.1795332136445242,0.1740993705638141,0.13801756587202,0.0345372979462492,0.0130111793621944,0.2529084471421345,-0.5838878689265613,-0.8116794499134278,0.2236991951606578,0.0498575851013404,stable,Y
ADA,RMF,ADA,RMF,0.0,0.0,0.0,0.0,0.0133922592741395,0.0501882057716436,0.020121941678027,0.0,0.0505816894284269,0.7411145615175447,0.8231932086840424,0.0918570381410625,0.0441274153280589,post-embryonic brain integration,Y
ADA,SAAD,ADA,SAAD,0.0,0.0,0.0,0.0,0.0133922592741395,0.0125470514429109,0.0067028322615276,0.0,0.1011633788568538,0.9076775883094692,0.8231932086840424,0.0123916898499504,0.0441274153280589,variable,Y
ADA,SMDV,ADA,SMDV,0.0,0.0,0.0,0.0,0.0133922592741395,0.0250941028858218,0.0106037722475733,0.0,0.0,0.8512909241256922,0.8231932086840424,0.0315272786768338,0.0441274153280589,variable,Y
ADE,ALN,ADE,ALN,0.0,0.0,0.0,0.0,0.026784518548279,0.0250941028858218,0.0134056645230553,0.0,0.0,0.9076775883094692,0.8231932086840424,0.0123916898499504,0.0441274153280589,post-embryonic brain integration,Y
ADE,CEPD,ADE,CEPD,0.0,0.0,0.0,0.0224416517055655,0.0401767778224186,0.0376411543287327,0.0192838119371924,0.0112208258527827,0.0,0.9290274815952076,0.924061655450546,0.0073768997747375,0.0084309940089491,developmentally dynamic (strengthened),Y
ADE,IL1L/R,ADE,IL1L/R,0.0,0.0,0.0242954324586977,0.044883303411131,0.1071380741931163,0.0627352572145545,0.0412183048125363,0.0313676286072772,0.0,0.9158705547843832,0.9705882352941178,0.0103189211679205,0.0012848565031548,developmentally dynamic (strengthened),Y
ADE,OLL,ADE,OLL,0.0,0.0,0.0,0.0673249551166965,0.0803535556448372,0.0250941028858218,0.0364526948655038,0.0125470514429109,0.0,0.6507613257342816,0.8316554899054915,0.161653566929769,0.0401243800094587,developmentally dynamic (strengthened),Y
ADE,RIG,ADE,RIG,0.0671044896191094,0.1440403312927619,0.1943634596695821,0.2244165170556553,0.4553368153207446,0.4265997490589712,0.1560483186527882,0.1038175779066829,0.0,0.9948589980219684,0.9856107606091624,3.957691391965596e-05,0.0003090856678496,developmentally dynamic (strengthened),Y
ADE,RIV,ADE,RIV,0.0,0.0,0.0,0.0224416517055655,0.0803535556448372,0.0752823086574655,0.0383209621006162,0.0112208258527827,0.0,0.9437973663229854,0.924061655450546,0.004649339406298,0.0084309940089491,developmentally dynamic (strengthened),Y
ADE,RMDL/R,ADE,RMDL/R,0.0,0.0,0.0,0.0224416517055655,0.1071380741931163,0.0752823086574655,0.0461624922842506,0.0112208258527827,0.1517450682852807,0.9195663696052722,0.924061655450546,0.0094441678909169,0.0084309940089491,developmentally dynamic (strengthened),Y
ADE,RMF,ADE,RMF,0.0,0.0,0.0,0.0,0.0937458149189768,0.0627352572145545,0.0415762816757891,0.0,0.0505816894284269,0.8827702710976084,0.8231932086840424,0.0198086811012358,0.0441274153280589,post-embryonic brain integration,Y
ADE,RMH,ADE,RMH,0.0,0.0,0.0,0.0224416517055655,0.026784518548279,0.0250941028858218,0.0136394159077441,0.0112208258527827,0.0505816894284269,0.8674257532437057,0.924061655450546,0.0251988384542453,0.0084309940089491,post-embryonic brain integration,Y
ADE,SAAV,ADE,SAAV,0.0,0.0,0.0,0.0,0.0133922592741395,0.0125470514429109,0.0067028322615276,0.0,0.0,0.9076775883094692,0.8231932086840424,0.0123916898499504,0.0441274153280589,variable,Y
ADE,SMBV,ADE,SMBV,0.0,0.0,0.0,0.0,0.0133922592741395,0.0125470514429109,0.0067028322615276,0.0,0.0,0.9076775883094692,0.8231932086840424,0.0123916898499504,0.0441274153280589,variable,Y
ADF,AIZ,ADF,AIZ,0.572154595746998,0.4321209938782859,0.4130223517978619,0.2468581687612208,0.2544529262086514,0.3889585947302383,0.1217972671200654,0.0888340338348172,0.2023267577137076,-0.6937059701534714,-0.8116794499134278,0.1263564037164852,0.0498575851013404,stable,Y
ADL,ASH,ADL,ASH,0.0156641604010025,0.1440403312927619,0.1457725947521866,0.0673249551166965,0.147314852015535,0.150564617314931,0.0568818131886687,0.0040332716427587,0.0,0.6486223024130585,0.8116794499134278,0.1635077798265932,0.0498575851013404,developmentally dynamic (strengthened),Y
ADL,ASK,ADL,ASK,0.3876970268597974,0.3240907454087144,0.1457725947521866,0.1122082585278276,0.026784518548279,0.0627352572145545,0.146165619736183,0.0842305387585903,0.1517450682852807,-0.9171651345244114,-0.9856107606091624,0.0100082319323561,0.0003090856678496,developmentally dynamic (weakened),Y
ADL,AVB,ADL,AVB,0.0,0.0,0.0,0.0224416517055655,0.026784518548279,0.0125470514429109,0.012185878536913,0.0062735257214554,0.0,0.7293931362261916,0.8316554899054915,0.0999341022619556,0.0401243800094587,variable,Y
ADL,AVE,ADL,AVE,0.0,0.0,0.0,0.0224416517055655,0.026784518548279,0.0125470514429109,0.012185878536913,0.0062735257214554,0.0,0.7293931362261916,0.8316554899054915,0.0999341022619556,0.0401243800094587,variable,Y
ADL,AWB,ADL,AWB,0.0,0.0,0.0,0.0,0.0133922592741395,0.0250941028858218,0.0106037722475733,0.0,0.0,0.8512909241256922,0.8231932086840424,0.0315272786768338,0.0441274153280589,variable,Y
ADL,SMBV,ADL,SMBV,0.0175901495162708,0.0,0.0242954324586977,0.0224416517055655,0.0803535556448372,0.1254705144291091,0.0478314370934698,0.0145734673239962,0.0,0.8764763747649487,0.8696565534786727,0.0219447619389229,0.0243768916856907,variable,Y
AIA,AIB,AIA,AIB,0.5238005638220115,0.6121714079942384,0.5102040816326531,0.4712746858168761,0.3348064818534887,0.439146800501882,0.092848968193847,0.0423268816600647,0.3034901365705614,-0.8021062616673569,-0.9276336570439174,0.0548679469775255,0.0076658441874731,stable,Y
AIA,ASK,AIA,ASK,0.2848163684235834,0.1800504141159524,0.0485908649173955,0.0897666068222621,0.0669612963706977,0.0376411543287327,0.0962862352881471,0.0352479419734158,0.0,-0.812882654107604,-0.7826908981308054,0.0492435911346457,0.065703848071589,stable,Y
AIA,RIF,AIA,RIF,0.1844575688872005,0.0720201656463809,0.0728862973760933,0.044883303411131,0.0401767778224186,0.0376411543287327,0.0556937181666116,0.0163547597768373,0.0505816894284269,-0.800033633606088,-0.9276336570439174,0.0559818392101948,0.0076658441874731,stable,Y
AIB,AUA,AIB,AUA,0.0,0.0,0.0,0.0,0.0133922592741395,0.0501882057716436,0.020121941678027,0.0,0.0,0.7411145615175447,0.8231932086840424,0.0918570381410625,0.0441274153280589,developmentally dynamic (strengthened),Y
AIB,AVA,AIB,AVA,0.0,0.0360100828231904,0.0242954324586977,0.0,0.1205303334672559,0.0878293601003764,0.0491902147660113,0.0301527576409441,0.0,0.866285661025158,0.6764705882352942,0.0256239122748788,0.1400748015469161,developmentally dynamic (strengthened),Y
AIB,AVB,AIB,AVB,0.3594550033509128,0.3240907454087144,0.2429543245869776,0.2917414721723518,0.2276684076603723,0.1756587202007528,0.0675632994985037,0.048211168874171,0.1011633788568538,-0.9094638261685196,-0.9276336570439174,0.0119241447588223,0.0076658441874731,stable,Y
AIB,RMF,AIB,RMF,0.0,0.0,0.0,0.0224416517055655,0.026784518548279,0.0501882057716436,0.0204582068469241,0.0112208258527827,0.0,0.8660069603304664,0.924061655450546,0.025728337479625,0.0084309940089491,post-embryonic brain integration,Y
AIB,SAAV,AIB,SAAV,0.0,0.0,0.0,0.0224416517055655,0.026784518548279,0.0501882057716436,0.0204582068469241,0.0112208258527827,0.0,0.8660069603304664,0.924061655450546,0.025728337479625,0.0084309940089491,developmentally dynamic (strengthened),Y
AIB,SIBV,AIB,SIBV,0.0,0.0,0.0,0.0,0.0133922592741395,0.0125470514429109,0.0067028322615276,0.0,0.0,0.9076775883094692,0.8231932086840424,0.0123916898499504,0.0441274153280589,variable,Y
AIB,SMDD,AIB,SMDD,0.3024065179398543,0.1800504141159524,0.1943634596695821,0.2019748653500897,0.0803535556448372,0.13801756587202,0.0739126327662392,0.0319786497390348,0.1011633788568538,-0.8980960224114233,-0.753702346348183,0.0150475240880486,0.0835232813732598,stable,Y
AIB,DVA,AIB,DVA,0.0,0.0,0.0,0.0224416517055655,0.026784518548279,0.0125470514429109,0.012185878536913,0.0062735257214554,0.0505816894284269,0.7293931362261916,0.8316554899054915,0.0999341022619556,0.0401243800094587,variable,Y
AIB,RIA,AIB,RIA,0.0,0.0,0.0,0.0,0.0133922592741395,0.0125470514429109,0.0067028322615276,0.0,0.0,0.9076775883094692,0.8231932086840424,0.0123916898499504,0.0441274153280589,variable,Y
