Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_SEM,standard deviation,median absolute deviation,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
ADF,ADF,ADF,ADF,0.0,8.511189111691369,0.0,0.0,0.0,3.80631948461959,0.0,-0.2671192453158894,-0.3535533905932737,0.6639822346701951,0.5594043441634877,variable,Y
ADL,ADF,ADL,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AFD,ADF,AFD,ADF,0.8359632266491396,0.0,0.6192747216346378,0.0,0.0,0.4058300752594191,0.0,-0.6272479993761435,-0.6708203932499368,0.25736544225957,0.21516994256955,variable,Y
ALM,ADF,ALM,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
ALN,ADF,ALN,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AQR,ADF,AQR,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASE,ADF,ASE,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASG,ADF,ASG,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASH,ADF,ASH,ADF,3.356795600687931,0.0,13.43558483846721,5.98388417325721,3.308709165788174,5.060935471760503,2.627088572569279,0.0669133355902472,0.0999999999999999,0.9148669143661144,0.8728885715695383,variable,Y
ASI,ADF,ASI,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASJ,ADF,ASJ,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASK,ADF,ASK,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AUA,ADF,AUA,ADF,0.0,0.0,0.0,0.0,5.56405288778876,2.488320097499935,0.0,0.8596865041556043,0.7071067811865475,0.0617482356231011,0.1816901138162092,variable,Y
AVM,ADF,AVM,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AWA,ADF,AWA,ADF,10.253002290200431,0.0,2.9645833203548007,6.467688228334617,5.043273963426934,3.836606515952807,2.078690643072133,-0.2159646790346105,-0.0999999999999999,0.7271779440836597,0.8728885715695383,variable,Y
AWB,ADF,AWB,ADF,35.18482958876708,67.93698686182289,60.08954006156229,50.76508471674382,68.76119831152553,13.975343455720658,8.671658249963244,0.6643108193429683,0.6,0.2213409294765194,0.2847569798652937,stable,Y
AWC,ADF,AWC,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
BAG,ADF,BAG,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
DVA,ADF,DVA,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
FLP,ADF,FLP,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
IL2D,ADF,IL2D,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
IL2L/R,ADF,IL2L/R,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
IL2V,ADF,IL2V,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
OLL,ADF,OLL,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
OLQD,ADF,OLQD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
OLQV,ADF,OLQV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
PLN,ADF,PLN,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SAAD,ADF,SAAD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SAAV,ADF,SAAV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SDQ,ADF,SDQ,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URB,ADF,URB,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URX,ADF,URX,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
URYD,ADF,URYD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URYV,ADF,URYV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ADA,ADF,ADA,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AIA,ADF,AIA,ADF,2.841238637878209,0.0,2.844672417893147,0.0,0.0,1.557151345860886,0.0,-0.5630791784355368,-0.4472135954999578,0.3229947325842934,0.4501848557521009,variable,Y
AIB,ADF,AIB,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AIN,ADF,AIN,ADF,6.789916893457355,0.0,0.0,0.0,0.0,3.036543147068969,0.0,-0.654872988516374,-0.7071067811865475,0.2303728030659723,0.1816901138162092,variable,Y
AIY,ADF,AIY,ADF,22.568328099590094,6.879572331374851,0.0,0.0,0.3318574033388389,9.739112930287355,0.3318574033388389,-0.7499436290650623,-0.6668859288553501,0.1443410889506524,0.2188939813132316,developmentally dynamic (weakened),Y
AVA,ADF,AVA,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AVB,ADF,AVB,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVD,ADF,AVD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVE,ADF,AVE,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVJ,ADF,AVJ,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
BDU,ADF,BDU,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
PVC,ADF,PVC,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
PVP,ADF,PVP,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
PVR,ADF,PVR,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
PVT,ADF,PVT,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RIA,ADF,RIA,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIB,ADF,RIB,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIF,ADF,RIF,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIG,ADF,RIG,ADF,0.0,0.0,0.0,0.0,0.8157012396927837,0.3647926842567828,0.0,0.8596865041556043,0.7071067811865475,0.0617482356231011,0.1816901138162092,variable,Y
RIH,ADF,RIH,ADF,0.0,0.0,1.3133702374781504,0.0,0.0,0.5873570261252372,0.0,-0.0351298263070524,0.0,0.9552805176298372,1.0,variable,Y
RIM,ADF,RIM,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RIP,ADF,RIP,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RIR,ADF,RIR,ADF,2.5819574105494474,0.0,0.0,10.595837805683782,3.4029256312293787,4.345518523767634,2.5819574105494474,0.233306126160539,0.5642880936468347,0.7056627232599858,0.3217233358243002,developmentally dynamic (strengthened),Y
IL1D,ADF,IL1D,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
IL1L/R,ADF,IL1L/R,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
IL1V,ADF,IL1V,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RIV,ADF,RIV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMDD,ADF,RMDD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMDL/R,ADF,RMDL/R,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMDV,ADF,RMDV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMED/V,ADF,RMED/V,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RMEL/R,ADF,RMEL/R,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
RMF,ADF,RMF,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
RMH,ADF,RMH,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SIAD,ADF,SIAD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SIAV,ADF,SIAV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SIBD,ADF,SIBD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SIBV,ADF,SIBV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SMBD,ADF,SMBD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SMBV,ADF,SMBV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SMDD,ADF,SMDD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SMDV,ADF,SMDV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URAD,ADF,URAD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URAV,ADF,URAV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
ADE,ADF,ADE,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AIM,ADF,AIM,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ALA,ADF,ALA,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AVF,ADF,AVF,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AVH,ADF,AVH,ADF,11.478979452471847,11.907850096960477,17.03993643132523,25.354166255100672,12.772281397209593,5.825949299253102,1.2933019447377454,0.1653350394771399,0.7,0.7904519382977453,0.1881204043741873,stable,Y
AVK,ADF,AVK,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
