Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_SEM,standard deviation,median absolute deviation,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
ADF,ADF,ADF,ADF,0.0,1.9323755575938937,0.0,0.0,0.0,0.8641846209678012,0.0,-0.2671192453158894,-0.3535533905932737,0.6639822346701951,0.5594043441634877,variable,Y
ADL,ADF,ADL,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AFD,ADF,AFD,ADF,0.4662435169788054,0.0,0.2325589650077331,0.0,0.0,0.2084476598358232,0.0,-0.672598007617665,-0.6708203932499368,0.2134932354717356,0.21516994256955,variable,Y
ALM,ADF,ALM,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
ALN,ADF,ALN,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AQR,ADF,AQR,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASE,ADF,ASE,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASG,ADF,ASG,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASH,ADF,ASH,ADF,0.7611385888939842,0.0,3.3778546891083234,2.066975787005626,0.8613091807487698,1.3242160228371982,0.8613091807487698,0.1096711246373675,0.4999999999999999,0.8606428155812309,0.3910022189557705,variable,Y
ASI,ADF,ASI,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASJ,ADF,ASJ,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASK,ADF,ASK,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AUA,ADF,AUA,ADF,0.0,0.0,0.0,0.0,1.8330540544279796,0.8197666944265123,0.0,0.8596865041556043,0.7071067811865475,0.0617482356231011,0.1816901138162092,variable,Y
AVM,ADF,AVM,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AWA,ADF,AWA,ADF,4.6854182770890285,0.0,1.80949536313945,4.025550406270423,2.5811154687898994,1.8550171076075368,1.4444349374805232,-0.1255415229859923,-0.0999999999999999,0.8405764426837319,0.8728885715695383,variable,Y
AWB,ADF,AWB,ADF,30.78262846420303,33.71349595418746,53.49853393802931,42.11576141156988,52.05543174665661,10.33076451620071,9.939670335086731,0.771041997612456,0.7,0.1268993383397844,0.1881204043741873,stable,Y
AWC,ADF,AWC,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
BAG,ADF,BAG,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
DVA,ADF,DVA,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
FLP,ADF,FLP,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
IL2D,ADF,IL2D,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
IL2L/R,ADF,IL2L/R,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
IL2V,ADF,IL2V,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
OLL,ADF,OLL,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
OLQD,ADF,OLQD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
