Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_SEM,standard deviation,median absolute deviation,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
ADF,ADF,ADF,ADF,0.0,0.03645614576671885,0.0,0.0,0.0,0.016303684026404905,0.0,-0.2671192453158894,-0.35355339059327373,0.6639822346701951,0.5594043441634877,variable,Y
ADL,ADF,ADL,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan, ,Y
AFD,ADF,AFD,ADF,0.00422380694343583,0.0,0.003621369521154202,0.0,0.0,0.002159021974879475,0.0,-0.5993046857976461,-0.6708203932499368,0.28546545179282345,0.21516994256955005,variable,Y
ALM,ADF,ALM,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan, ,N
ALN,ADF,ALN,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan, ,N
AQR,ADF,AQR,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan, ,Y
ASE,ADF,ASE,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan, ,Y
ASG,ADF,ASG,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan, ,Y
ASH,ADF,ASH,ADF,0.011919444466235156,0.0,0.07856806637363839,0.04418814532032739,0.01841579186157129,0.03130235412606614,0.01841579186157129,0.13674705371831541,0.49999999999999994,0.8264324171746613,0.39100221895577053,variable,Y
ASI,ADF,ASI,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan, ,Y
ASJ,ADF,ASJ,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan, ,Y
ASK,ADF,ASK,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan, ,N
AUA,ADF,AUA,ADF,0.0,0.0,0.0,0.0,0.03096870554468445,0.013849626154617817,0.0,0.8596865041556043,0.7071067811865475,0.06174823562310116,0.18169011381620928,variable,Y
AVM,ADF,AVM,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan, ,Y
AWA,ADF,AWA,ADF,0.04513614389519784,0.0,0.017336169722730877,0.0477608087064048,0.028070126130057726,0.019882677064614964,0.017066017765140117,-0.031092646609227975,0.19999999999999998,0.9604179924084958,0.747060078104662,variable,Y
AWB,ADF,AWB,ADF,0.1543365431669509,0.29099584834557823,0.35138916754864796,0.3748760630574099,0.382714784771854,0.094601740041208,0.03132561722320604,0.8244241767551774,0.9999999999999999,0.08595063596788319,1.4042654220543672e-24,stable,Y
AWC,ADF,AWC,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan, ,Y
BAG,ADF,BAG,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan, ,Y
DVA,ADF,DVA,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan, ,Y
FLP,ADF,FLP,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan, ,N
IL2D,ADF,IL2D,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan, ,N
IL2L/R,ADF,IL2L/R,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan, ,N
IL2V,ADF,IL2V,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan, ,N
OLL,ADF,OLL,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan, ,N
