Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_SEM,standard deviation,median absolute deviation,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
AWB,ADF,AWB,ADF,0.1543365431669509,0.2909958483455782,0.3513891675486479,0.3748760630574099,0.382714784771854,0.094601740041208,0.031325617223206,0.8244241767551774,1.0,0.0859506359678831,1.4042654220543672e-24,stable,Y
AIZ,ADF,AIZ,ADF,0.0207611709099279,0.0204074562172245,0.009900478564962,0.0061538117804287,0.0,0.0090621038567141,0.009900478564962,-0.9275482857514186,-1.0,0.0231542065407091,1.4042654220543672e-24,variable,Y
ASK,ADL,ASK,ADL,0.0,0.0,0.0,0.0053247937282489,0.0154975290162468,0.0067419027166413,0.0,0.9181769070143736,0.8944271909999157,0.0277488091303584,0.040519326353834,developmentally dynamic (strengthened),Y
AWA,ADL,AWA,ADL,0.1567382026574776,0.1336879199054907,0.0561223085673447,0.0264857854582391,0.0259697616287269,0.0614900968523213,0.0301525469386178,-0.8394371978112365,-1.0,0.0753450687144897,1.4042654220543672e-24,developmentally dynamic (weakened),Y
AWA,AFD,AWA,AFD,0.0,0.0243812119425853,0.0807932966947749,0.0866627381255276,0.152824227877465,0.0596434587195105,0.0564120847521896,0.9783093346517604,1.0,0.0038223027866243,1.4042654220543672e-24,developmentally dynamic (strengthened),Y
ADL,ASK,ADL,ASK,0.3472606922938131,0.2625016613212781,0.1483938693545445,0.0316137188043643,0.0371787631816997,0.1388620777908817,0.1141077919667336,-0.862148833313034,-0.8999999999999998,0.060153259635777,0.0373860734684987,developmentally dynamic (weakened),Y
AIA,ASK,AIA,ASK,0.2842239958874735,0.1870248816980236,0.2226154883356501,0.0725742939897807,0.0451716605037899,0.1010995629062891,0.0971991141894499,-0.8758710503899058,-0.8999999999999998,0.0515095036612005,0.0373860734684987,stable,Y
AIN,AUA,AIN,AUA,0.2309422038869051,0.1757100255188892,0.181610777022842,0.1681210356176823,0.0513773152681491,0.066331399054393,0.0075889899012069,-0.9708904490563192,-0.8999999999999998,0.0059358329183416,0.0373860734684987,stable,Y
RIB,AUA,RIB,AUA,0.0110695726656828,0.0,0.0149261525774782,0.0160286008618325,0.0279685363183314,0.0100583346174038,0.0038565799117953,0.7928645444717131,0.8999999999999998,0.1095819901639861,0.0373860734684987,variable,Y
AIY,AWA,AIY,AWA,0.0028104260115461,0.0,0.0183801964360066,0.014969817810344,0.0272575371325022,0.011274206401554,0.0121593917987979,0.888752884166168,0.7999999999999999,0.0437909036372105,0.1040880386618278,variable,Y
AIM,AWB,AIM,AWB,0.0,0.0,0.0,0.0122944130864703,0.0131764381489664,0.0069824469726371,0.0,0.8022377284373148,0.8944271909999157,0.1023828015469027,0.040519326353834,variable,Y
BAG,BAG,BAG,BAG,0.0,0.0,0.0,0.0056704543004013,0.0068963230382177,0.0034687369778028,0.0,0.8355985768005838,0.8944271909999157,0.0780156200442649,0.040519326353834,variable,Y
DVC,BAG,DVC,BAG,0.0120016418298306,0.002889458339419,0.0,0.0,0.0,0.0051971002312985,0.0,-0.7427355163137006,-0.8944271909999157,0.1504493502366148,0.040519326353834,variable,Y
AUA,DVA,AUA,DVA,0.0,0.0,0.0041349035367806,0.0141715161372606,0.0156264425376916,0.0076129359595166,0.0041349035367806,0.8617374378855727,0.9746794344808964,0.0604188313041673,0.0048182304681985,variable,Y
AIB,DVA,AIB,DVA,0.0,0.0,0.0,0.0108295092548985,0.0140733939563876,0.0069157026122347,0.0,0.850614468357071,0.8944271909999157,0.0677356916684316,0.040519326353834,variable,Y
DVA,FLP,DVA,FLP,0.0,0.0,0.0,0.0019031187702887,0.0074553583692849,0.0032283126627507,0.0,0.913554814470587,0.8944271909999157,0.0301114763258249,0.040519326353834,variable,Y
OLQV,IL2L/R,OLQV,IL2L/R,0.427660191558775,0.3680794670090136,0.3042613670666425,0.3244669189427466,0.2410263283153908,0.0699087812595781,0.043612548066267,-0.9611720402608648,-0.8999999999999998,0.009130719805257,0.0373860734684987,stable,Y
ADE,IL2L/R,ADE,IL2L/R,0.0,0.0,0.0,0.0263924206331232,0.0310927629565821,0.0158304335749332,0.0,0.8277770062242347,0.8944271909999157,0.0835449941347241,0.040519326353834,developmentally dynamic (strengthened),Y
ADL,OLL,ADL,OLL,0.0260474568185309,0.0021141828940632,0.0,0.0,0.0,0.0114490631250158,0.0,-0.6883557311571016,-0.8944271909999157,0.1987919459625259,0.040519326353834,variable,Y
CEPD,OLL,CEPD,OLL,0.3558384509777684,0.3547881462748507,0.3324793577540599,0.1736295602995231,0.2335485023459343,0.0822580331188766,0.0233590932237084,-0.6621022697011916,-0.8999999999999998,0.2234455408702571,0.0373860734684987,stable,Y
CEPV,OLL,CEPV,OLL,0.3569001240464421,0.3899068856101813,0.2604637492544649,0.2212080968777285,0.183562559585233,0.0881794850372356,0.0769011896692319,-0.8503403911445401,-0.8999999999999998,0.0679192517756461,0.0373860734684987,stable,Y
IL2D,OLQD,IL2D,OLQD,0.0,0.0,0.0,0.0262804963071812,0.0422382465966783,0.0195944528877979,0.0,0.8872012671374134,0.8944271909999157,0.044699446650772,0.040519326353834,developmentally dynamic (strengthened),Y
IL2V,OLQV,IL2V,OLQV,0.0,0.0,0.0,0.0028633500619326,0.0845316585978122,0.0375040750157462,0.0,0.8698816259929357,0.8944271909999157,0.0552304336743493,0.040519326353834,developmentally dynamic (strengthened),Y
RIV,SAAD,RIV,SAAD,0.6347575384490757,0.6121111102177973,0.4103146834444427,0.4968117403466638,0.2958101720567979,0.141396339546184,0.1152993698711334,-0.9200546724061024,-0.8999999999999998,0.0268068517241088,0.0373860734684987,stable,Y
SMBV,SAAD,SMBV,SAAD,0.7316244533448479,0.5895395622806469,0.5640001640695956,0.4449793499699683,0.2695087057719374,0.1731550148283187,0.1190208140996273,-0.9849568359834416,-1.0,0.0022098369883713,1.4042654220543672e-24,stable,Y
RIC,SAAD,RIC,SAAD,0.0,0.0,0.0072357043297655,0.0064742670916339,0.0167322758037673,0.0068719451735171,0.0064742670916339,0.9606283548122488,0.8720815992723809,0.0093223976621682,0.0538542177275421,variable,Y
AIB,SAAV,AIB,SAAV,0.0,0.0,0.0,0.0046586778448913,0.0291299234776264,0.0126680879102614,0.0,0.9000878254511218,0.8944271909999157,0.0373373411642545,0.040519326353834,developmentally dynamic (strengthened),Y
RIM,SAAV,RIM,SAAV,0.1214487993001607,0.1357930966956388,0.1518994173584757,0.2479641702628441,0.2015451217270717,0.0522338548501303,0.030450618058315,0.6531204823589306,0.8999999999999998,0.2320608204842426,0.0373860734684987,stable,Y
SMBD,SAAV,SMBD,SAAV,0.6561514861977024,0.5508750447830862,0.3894635442277679,0.4212535811083642,0.2418308237970343,0.1584939279477283,0.129621463674722,-0.963826591173202,-0.8999999999999998,0.0082138620090158,0.0373860734684987,stable,Y
