Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_SEM,standard deviation,median absolute deviation,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
ADF,ADF,ADF,ADF,0.0,0.0364561457667188,0.0,0.0,0.0,0.0163036840264049,0.0,-0.2671192453158894,-0.3535533905932737,0.6639822346701951,0.5594043441634877,variable,Y
ADL,ADF,ADL,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AFD,ADF,AFD,ADF,0.0042238069434358,0.0,0.0036213695211542,0.0,0.0,0.0021590219748794,0.0,-0.5993046857976461,-0.6708203932499368,0.2854654517928234,0.21516994256955,variable,Y
ALM,ADF,ALM,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
ALN,ADF,ALN,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AQR,ADF,AQR,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASE,ADF,ASE,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASG,ADF,ASG,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASH,ADF,ASH,ADF,0.0119194444662351,0.0,0.0785680663736383,0.0441881453203273,0.0184157918615712,0.0313023541260661,0.0184157918615712,0.1367470537183154,0.4999999999999999,0.8264324171746613,0.3910022189557705,variable,Y
ASI,ADF,ASI,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASJ,ADF,ASJ,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ASK,ADF,ASK,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
AUA,ADF,AUA,ADF,0.0,0.0,0.0,0.0,0.0309687055446844,0.0138496261546178,0.0,0.8596865041556043,0.7071067811865475,0.0617482356231011,0.1816901138162092,variable,Y
AVM,ADF,AVM,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AWA,ADF,AWA,ADF,0.0451361438951978,0.0,0.0173361697227308,0.0477608087064048,0.0280701261300577,0.0198826770646149,0.0170660177651401,-0.0310926466092279,0.1999999999999999,0.9604179924084958,0.747060078104662,variable,Y
AWC,ADF,AWC,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
BAG,ADF,BAG,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
DVA,ADF,DVA,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
FLP,ADF,FLP,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
IL2D,ADF,IL2D,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
IL2L/R,ADF,IL2L/R,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
IL2V,ADF,IL2V,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
OLL,ADF,OLL,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
OLQD,ADF,OLQD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
OLQV,ADF,OLQV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
PLN,ADF,PLN,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SAAD,ADF,SAAD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
SAAV,ADF,SAAV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
SDQ,ADF,SDQ,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URB,ADF,URB,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URX,ADF,URX,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
URYD,ADF,URYD,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,N
URYV,ADF,URYV,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
ADA,ADF,ADA,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,, ,Y
AIA,ADF,AIA,ADF,0.0153561918124674,0.0,0.0166349596260511,0.0,0.0,0.0087727953736138,0.0,-0.5424363279693585,-0.4472135954999578,0.3448968981867237,0.4501848557521009,variable,Y
