Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_TEM,adult_SEM,standard deviation,median absolute deviation,daf2-dauer,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
ADA,RIP,ADA,RIP,0.5952380952380952,5.88235294117647,4.2105263157894735,6.172839506172839,6.504065040650407,8.904109589041095,2.7865899973672943,1.146769362430467,7.142857142857142,0.8359491242176073,0.9276336570439174,0.0381615095980914,0.0076658441874731,developmentally dynamic (strengthened),Y
ADE,RIG,ADE,RIG,8.421052631578947,12.12121212121212,16.3265306122449,19.230769230769237,32.075471698113205,27.64227642276423,9.07236471291697,7.507517545111534,0.0,0.984882176563968,0.9856107606091624,0.0003410952995839,0.0003090856678496,developmentally dynamic (strengthened),Y
ADL,ASH,ADL,ASH,3.703703703703704,25.0,30.0,15.789473684210526,34.375,44.44444444444444,14.33536999968407,9.292763157894736,0.0,0.8489986785158384,0.8116794499134278,0.0324805779378085,0.0498575851013404,developmentally dynamic (strengthened),Y
ADL,ASK,ADL,ASK,30.394524959742352,24.324324324324326,17.142857142857142,16.666666666666664,4.761904761904762,10.869565217391305,9.162600762265606,6.727379553466511,23.07692307692308,-0.9599797748595612,-0.9856107606091624,0.0023703790655525,0.0003090856678496,developmentally dynamic (weakened),Y
AIA,AIB,AIA,AIB,12.22656815877155,14.049586776859504,12.962962962962962,11.475409836065571,7.9113924050632916,10.606060606060606,2.1371673898868875,1.1784511784511782,12.5,-0.7808876100291066,-0.8116794499134278,0.0667555400048848,0.0498575851013404,stable,Y
AIA,RIF,AIA,RIF,53.703703703703695,25.0,27.27272727272727,25.0,11.538461538461538,11.11111111111111,15.498327850683078,7.867132867132866,9.090909090909092,-0.9064436087254476,-0.8823529411764706,0.0127197574089645,0.0199470791776918,stable,Y
AIB,AVB,AIB,AVB,13.717989928211722,11.688311688311687,7.042253521126761,7.738095238095238,5.723905723905724,5.035971223021583,3.4584387292125216,2.0102359061473463,1.7543859649122806,-0.913400253937052,-0.9276336570439174,0.0109245459358664,0.0076658441874731,stable,Y
AIB,SMDD,AIB,SMDD,9.086879432624114,5.434782608695652,7.142857142857142,6.25,3.614457831325301,5.41871921182266,1.8491040289818856,0.8620689655172411,3.4482758620689653,-0.8096159531906668,-0.8116794499134278,0.050918789720994,0.0498575851013404,stable,Y
AIM,ASG,AIM,ASG,77.5,83.33333333333334,70.0,57.14285714285714,54.16666666666666,43.75,15.134120252098857,11.666666666666668,0.0,-0.8873278217080198,-0.9276336570439174,0.0183273418766204,0.0076658441874731,stable,Y
AIM,ASK,AIM,ASK,4.690016103059581,5.405405405405405,14.285714285714285,13.333333333333334,14.285714285714285,17.391304347826086,5.236094085562215,2.028985507246376,0.0,0.8486025219681067,0.8676470588235294,0.03264668887086,0.0251167184001627,stable,Y
AIN,AUA,AIN,AUA,22.883597883597883,22.22222222222222,15.09433962264151,16.216216216216218,9.090909090909092,8.333333333333332,6.208109205012654,6.565656565656565,20.0,-0.9671000536855424,-0.9276336570439174,0.0016058041439058,0.0076658441874731,stable,Y
AIN,RIB,AIN,RIB,1.8299623500569129,2.857142857142857,3.787878787878788,5.343511450381679,7.894736842105263,5.371900826446281,2.160090283703405,1.257378984651712,2.0408163265306123,0.901868903834706,0.9856107606091624,0.0139720809530474,0.0003090856678496,stable,Y
AIY,AIZ,AIY,AIZ,24.844972522868208,21.875,19.82758620689655,20.588235294117645,17.56756756756757,13.77245508982036,3.786211432019712,2.153716216216216,9.433962264150944,-0.937062930920244,-0.9276336570439174,0.0058169627816348,0.0076658441874731,stable,Y
AIY,RIA,AIY,RIA,4.651515151515151,3.2085561497326207,3.8461538461538463,2.592592592592593,2.696078431372549,1.2684989429175475,1.1603324083867743,0.6267806267806268,3.7037037037037033,-0.8448412933116436,-0.8406680016960504,0.0342436736413582,0.0360575728451591,stable,Y
AIZ,AVE,AIZ,AVE,4.836199581962294,3.571428571428571,4.597701149425287,6.077348066298343,7.5,6.079027355623101,1.387349378143686,0.7406631030989068,1.7543859649122806,0.7795670374061541,0.8116794499134278,0.0675305415112752,0.0498575851013404,stable,Y
AIZ,SMBD,AIZ,SMBD,68.25396825396824,76.47058823529412,43.75,54.285714285714285,43.07692307692308,41.50943396226416,14.742511833024976,6.724678623263522,38.88888888888889,-0.7896314367075625,-0.8696565534786727,0.0617274753565053,0.0243768916856907,stable,Y
ALA,AVE,ALA,AVE,3.339955712837069,2.857142857142857,2.2988505747126435,1.6574585635359116,2.1875,1.21580547112462,0.7724048351660524,0.5998421468034728,0.0,-0.799558922582571,-0.898645105261295,0.0562384152216518,0.0148886220055803,stable,Y
ALM,BDU,ALM,BDU,80.0,50.0,75.0,73.33333333333333,42.10526315789473,32.608695652173914,19.82536883496167,15.833333333333336,41.66666666666667,-0.785894385397199,-0.8116794499134278,0.0638543906359742,0.0498575851013404,stable,Y
ASE,AIB,ASE,AIB,20.485917096086588,14.87603305785124,16.049382716049383,12.021857923497269,12.658227848101266,11.212121212121213,3.4264061289765224,2.013762396276058,18.75,-0.8379540443814737,-0.8406680016960504,0.0372607639963583,0.0360575728451591,stable,Y
ASE,AIY,ASE,AIY,48.45103739170087,43.75,46.913580246913575,42.10526315789473,39.83050847457627,38.88888888888889,3.81347831107985,3.541535886168653,32.142857142857146,-0.9041641107960294,-0.9276336570439174,0.0133366732808689,0.0076658441874731,stable,Y
ASE,AIZ,ASE,AIZ,1.7999064983637212,1.5625,3.4482758620689653,0.9803921568627452,0.6756756756756757,0.5988023952095809,1.0630684669748216,0.5621154113440228,7.547169811320755,-0.5620389492411528,-0.8116794499134278,0.2457121942433519,0.0498575851013404,stable,Y
ASI,AIA,ASI,AIA,1.6239556932319534,1.1764705882352942,3.278688524590164,3.546099290780142,5.607476635514018,4.661016949152542,1.7061578331745326,1.5185306279602946,2.0,0.9268094290011056,0.9276336570439174,0.0078392537152311,0.0076658441874731,stable,Y
ASI,AIB,ASI,AIB,1.1299435028248588,0.8264462809917356,1.2345679012345678,2.185792349726776,3.79746835443038,3.939393939393939,1.38130983748371,0.7319852335723747,0.0,0.943620853372202,0.9276336570439174,0.0046783086535475,0.0076658441874731,variable,Y
ASI,ASG,ASI,ASG,4.166666666666667,16.666666666666664,10.0,21.428571428571427,20.833333333333336,25.0,7.868558325925775,4.4642857142857135,100.0,0.8281289312227765,0.8406680016960504,0.04177098958815,0.0360575728451591,developmentally dynamic (strengthened),Y
ASK,AIA,ASK,AIA,14.7558289828073,16.470588235294116,18.0327868852459,21.27659574468085,19.626168224299064,23.728813559322035,3.2643859179927825,2.403003754693368,20.0,0.8354519217260059,0.898645105261295,0.0383864474474027,0.0148886220055803,stable,Y
AVH,ADL,AVH,ADL,15.0,16.666666666666664,14.285714285714285,16.666666666666664,6.666666666666667,3.225806451612903,5.712571282875867,2.023809523809522,0.0,-0.8618554419018607,-0.6470588235294118,0.0273077086243653,0.1648687156523507,variable,Y
AVH,RIR,AVH,RIR,9.09090909090909,4.3478260869565215,15.0,24.0,20.588235294117645,24.074074074074076,8.179843757786353,6.242919389978214,0.0,0.7676557372510765,0.8406680016960504,0.0747043649869532,0.0360575728451591,developmentally dynamic (strengthened),Y
AVJ,PVC,AVJ,PVC,23.33333333333333,18.75,14.814814814814811,9.090909090909092,12.903225806451612,5.714285714285714,6.39110885152181,4.829545454545454,0.0,-0.8217182707097735,-0.898645105261295,0.0448432758284805,0.0148886220055803,stable,Y
AVK,AVE,AVK,AVE,5.20249994826266,3.571428571428571,4.022988505747127,2.209944751381215,2.5,2.127659574468085,1.217697052347921,0.8669121227896355,3.508771929824561,-0.8393660276283301,-0.8406680016960504,0.0366324684923457,0.0360575728451591,stable,Y
AVK,RIM,AVK,RIM,12.198067632850242,8.433734939759036,7.194244604316546,7.199999999999999,5.714285714285714,6.167400881057269,2.3445770626527347,1.1331670293508838,17.02127659574468,-0.8795414476434534,-0.9276336570439174,0.0208914516259934,0.0076658441874731,stable,Y
