Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_TEM,adult_SEM,standard deviation,median absolute deviation,daf2-dauer,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
ADA,AVA,ADA,AVA,8.311688311688313,1.2345679012345678,1.6129032258064515,5.69620253164557,1.094890510948905,1.9417475728155336,2.9892158982787267,0.6125961932192561,9.876543209876544,-0.6039364989391169,-0.4058397249567139,0.2042349379399964,0.4246625075613645,stable,Y
ADA,AVB,ADA,AVB,15.7459194971249,12.987012987012983,14.788732394366196,14.88095238095238,9.427609427609427,16.546762589928058,2.5628742412819,1.3114986558671893,12.280701754385964,-0.3334231877277771,-0.0579771035652448,0.5183987166965289,0.9131317851623264,stable,Y
ADA,AVJ,ADA,AVJ,19.718670076726344,22.727272727272727,17.94871794871795,22.857142857142858,16.129032258064516,24.324324324324326,3.202634015744952,2.367762188734055,7.6923076923076925,-0.0342417324381576,0.1159542071304896,0.9486574754940372,0.826848213385815,stable,Y
ADA,RIC,ADA,RIC,7.405228758169934,6.451612903225806,10.0,2.083333333333333,3.5294117647058822,1.4925373134328357,3.3379602647294924,2.6609477124183005,0.0,-0.6708966892178978,-0.7247137945655605,0.1446410602903282,0.1032428046237076,stable,Y
ADA,RIM,ADA,RIM,6.165458937198068,6.024096385542169,7.194244604316546,6.4,5.306122448979592,4.845814977973569,0.8279007561581346,0.5469387755102044,10.638297872340424,-0.6712085133894378,-0.5217939320872036,0.1443839510962764,0.2883432338003937,stable,Y
ADE,AVA,ADE,AVA,6.147186147186147,4.938271604938271,3.225806451612903,3.1645569620253164,4.37956204379562,2.912621359223301,1.266195653069638,0.764095087079953,2.469135802469136,-0.6281893329962215,-0.753702346348183,0.1816646151334924,0.0835232813732598,stable,Y
ADF,AIZ,ADF,AIZ,23.563735478578423,18.75,14.6551724137931,10.784313725490197,12.837837837837837,18.562874251497004,4.662493966491973,2.9560810810810816,7.547169811320755,-0.4996719665709717,-0.6667366910003157,0.3128691182944556,0.1480897994403527,stable,Y
ADF,AUA,ADF,AUA,21.32936507936508,22.22222222222222,15.09433962264151,18.91891891891892,16.883116883116884,5.0,6.265093415241409,3.1175127283617847,0.0,-0.7330249763224048,-0.7247137945655605,0.0973990839572198,0.1032428046237076,stable,Y
ADF,RIA,ADF,RIA,6.205387205387207,8.02139037433155,7.6923076923076925,7.037037037037037,8.57843137254902,6.13107822410148,0.9939207060259824,0.908001584472172,0.9259259259259258,0.1970220837917322,0.0579771035652448,0.7082908465313305,0.9131317851623264,stable,Y
ADF,SMBV,ADF,SMBV,11.363636363636363,17.857142857142858,21.21212121212121,17.647058823529413,14.814814814814811,8.88888888888889,4.557049626177749,3.2467532467532463,0.0,-0.2881336680017814,-0.3188740696088466,0.5797600721552337,0.5379005604702051,stable,Y
