Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_TEM,adult_SEM,standard deviation,median absolute deviation,daf2-dauer,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
ADA,RIC,ADA,RIC,8.358860113246076,5.555555555555555,6.557377049180328,1.5384615384615383,3.4090909090909087,0.9523809523809524,2.922957571569268,2.509457755359395,0.0,-0.7916204971699982,-0.8406680016960504,0.0606088966215457,0.0360575728451591,stable,Y
ADE,AVA,ADE,AVA,34.25925925925926,25.0,11.428571428571429,9.615384615384617,8.391608391608392,7.199999999999999,11.057916627292576,2.7261738261738264,12.5,-0.8560685472050495,-0.9856107606091624,0.0295835337330011,0.0003090856678496,stable,Y
ADL,ASK,ADL,ASK,24.64494569757727,15.789473684210526,7.792207792207792,7.462686567164178,1.6528925619834711,2.941176470588235,8.703936509604725,5.330412663400132,60.0,-0.9250042287727858,-0.9856107606091624,0.0082256467312056,0.0003090856678496,developmentally dynamic (weakened),Y
AIA,RIF,AIA,RIF,13.41880341880342,5.263157894736842,6.0,4.25531914893617,4.838709677419355,3.75,3.595788628080068,0.8723404255319149,4.545454545454546,-0.7268341763002109,-0.8406680016960504,0.1017375930820881,0.0360575728451591,stable,Y
AIB,SMDD,AIB,SMDD,12.722342321841694,9.25925925925926,11.76470588235294,11.688311688311687,4.137931034482759,7.432432432432432,3.267588163212198,1.7697386283118446,11.76470588235294,-0.8316301946586881,-0.8116794499134278,0.0401360804592809,0.0498575851013404,stable,Y
AIM,AIA,AIM,AIA,42.64705882352941,27.27272727272727,20.833333333333336,26.666666666666668,17.24137931034483,20.0,9.146561989230598,3.636363636363635,31.57894736842105,-0.840851945530056,-0.9276336570439174,0.0359766956851976,0.0076658441874731,stable,Y
AIM,ASG,AIM,ASG,30.637254901960784,22.727272727272727,14.583333333333334,17.77777777777778,14.942528735632186,14.736842105263156,6.397305915529619,1.7000655374067382,0.0,-0.8155030326127868,-0.6377481392176932,0.0479186382439185,0.1730711102412597,stable,Y
AIN,AFD,AIN,AFD,26.26262626262626,26.47058823529412,25.64102564102564,19.148936170212767,18.6046511627907,20.73170731707317,3.707907446690812,3.1802407699107853,18.51851851851852,-0.8032260037948952,-0.8406680016960504,0.054270463258011,0.0360575728451591,stable,Y
AIN,RIB,AIN,RIB,4.41919191919192,8.823529411764707,12.82051282051282,14.893617021276595,17.441860465116278,15.853658536585366,4.903547250342057,2.7906945799561145,3.7037037037037033,0.9170182886583736,0.9856107606091624,0.0100432420699897,0.0003090856678496,stable,Y
ASG,AIB,ASG,AIB,5.0,5.88235294117647,9.090909090909092,31.57894736842105,17.5,13.333333333333334,9.922447181088588,5.770944741532977,0.0,0.4162244364086802,0.8116794499134278,0.411717284925285,0.0498575851013404,stable,Y
ASH,ADA,ASH,ADA,8.178815004262574,5.970149253731343,5.434782608695652,5.263157894736842,4.0,2.923976608187134,1.7939646254059944,0.9850746268656714,2.631578947368421,-0.9542193289405904,-0.9856107606091624,0.0030958296000499,0.0003090856678496,stable,Y
ASH,RIA,ASH,RIA,4.257246376811594,5.970149253731343,5.434782608695652,4.2105263157894735,2.0,1.1695906432748535,1.892561066719974,1.4685795849129644,5.263157894736842,-0.8199821937488042,-0.8116794499134278,0.0456927503818217,0.0498575851013404,stable,Y
ASI,AIA,ASI,AIA,9.696969696969695,5.555555555555555,12.903225806451612,10.869565217391305,15.584415584415584,13.253012048192772,3.478326380420452,1.7780211756115376,16.666666666666664,0.7378615667070434,0.8696565534786727,0.0940682118587955,0.0243768916856907,stable,Y
ASI,AIB,ASI,AIB,6.060606060606061,5.555555555555555,6.451612903225806,8.695652173913043,15.584415584415584,15.66265060240964,4.736156770432196,1.765551730488616,0.0,0.948321403051206,0.9276336570439174,0.0039370076438761,0.0076658441874731,variable,Y
ASK,AIA,ASK,AIA,90.1098901098901,70.0,78.57142857142857,62.5,49.41176470588236,54.36893203883495,15.261996086871074,12.10124826629681,40.0,-0.9263670518003044,-0.9276336570439174,0.0079331046243825,0.0076658441874731,stable,Y
AVH,ADF,AVH,ADF,16.38888888888889,15.151515151515152,14.000000000000002,16.666666666666664,4.761904761904762,9.67741935483871,4.6724385623121165,1.9520202020201989,0.0,-0.8560027488933483,-0.6377481392176932,0.0296099059893547,0.1730711102412597,stable,Y
AVH,ADL,AVH,ADL,7.638888888888888,3.0303030303030303,2.0,3.333333333333333,1.5873015873015872,1.6129032258064515,2.2939041176984345,0.860215053763441,0.0,-0.7932098849846649,-0.8116794499134278,0.059721832371213,0.0498575851013404,variable,Y
AVH,PVP,AVH,PVP,3.75,3.0303030303030303,6.0,6.666666666666667,11.11111111111111,8.064516129032258,2.951792417871006,2.157258064516129,0.0,0.901144636967114,0.9276336570439174,0.0141755479758324,0.0076658441874731,stable,Y
AVH,RIR,AVH,RIR,5.0,3.0303030303030303,6.0,20.0,11.11111111111111,20.967741935483872,7.808742650628109,4.54040404040404,0.0,0.6607527301237732,0.8406680016960504,0.1531112998270758,0.0360575728451591,developmentally dynamic (strengthened),Y
AVK,AVE,AVK,AVE,17.777777777777775,17.857142857142858,16.27906976744186,14.285714285714285,11.940298507462686,10.144927536231885,3.177067714938593,2.5350682908822435,5.263157894736842,-0.9537554550815212,-0.9276336570439174,0.0031583885828393,0.0076658441874731,stable,Y
AWA,ADL,AWA,ADL,14.461152882205516,9.375,4.081632653061225,2.380952380952381,1.1904761904761905,3.333333333333333,5.094525231522827,1.921768707482993,0.0,-0.8345483136976171,-0.898645105261295,0.0387968319699253,0.0148886220055803,developmentally dynamic (weakened),Y
AWA,AIZ,AWA,AIZ,8.270676691729323,21.875,26.53061224489796,28.57142857142857,30.952380952380956,28.88888888888889,8.381746605820375,2.3696145124716548,17.24137931034483,0.8299818183509173,0.9856107606091624,0.040901984878104,0.0003090856678496,stable,Y
AWA,AWB,AWA,AWB,26.62907268170426,31.25,24.489795918367346,21.428571428571427,10.714285714285714,12.22222222222222,8.146985079458803,5.980352667382743,5.172413793103448,-0.9242368790850032,-0.9276336570439174,0.008392633666475,0.0076658441874731,stable,Y
AWC,AIB,AWC,AIB,31.218483969767902,31.746031746031743,25.26315789473684,30.136986301369863,20.18348623853211,22.48062015503876,4.897145415842865,3.782185759846469,13.157894736842104,-0.887144785397753,-0.8696565534786727,0.0183857702898157,0.0243768916856907,stable,Y
BAG,RIB,BAG,RIB,39.556277056277054,41.37931034482759,39.62264150943396,35.483870967741936,20.43010752688172,30.08130081300813,7.969364560582226,2.9809019151212794,34.48275862068966,-0.86531844792399,-0.8116794499134278,0.0259871782553345,0.0498575851013404,stable,Y
