Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_SEM,standard deviation,median absolute deviation,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
AWB,ADF,AWB,ADF,30.78262846420303,33.71349595418746,53.49853393802931,42.11576141156988,52.05543174665661,10.33076451620071,9.939670335086731,0.771041997612456,0.7,0.1268993383397844,0.1881204043741873,stable,Y
AVH,ADF,AVH,ADF,15.69162809909587,9.83745080243241,19.73216317971336,30.569409008584135,11.871231062596529,8.207492947021588,4.040535080617486,-0.0224982165242933,0.1999999999999999,0.9713567978097196,0.747060078104662,stable,Y
AVH,ADL,AVH,ADL,12.155442710041228,2.297973328006462,1.8028176722052445,0.5977572557446453,3.7806148111914544,4.630836625922308,1.4826414831849926,-0.5146421585079305,-0.3999999999999999,0.3749367626726418,0.5046315754686911,variable,Y
ASE,AFD,ASE,AFD,3.4735715777449285,3.321076463616326,4.219009401000619,2.8594341771055665,2.6676207330880355,0.6059743953830875,0.4616422865107594,-0.5447650457589539,-0.7,0.342408231385066,0.1881204043741873,stable,Y
AIN,AFD,AIN,AFD,25.520974201652937,30.117002528715105,40.57745607115911,15.22769529739329,27.291311363490884,9.11226300298504,2.825691165224221,-0.0607399634218397,-0.0999999999999999,0.9227110564720012,0.8728885715695383,stable,Y
BDU,ALM,BDU,ALM,13.9979851323414,3.984252900160781,6.5522839796080286,5.348324132980172,6.584361691919635,3.896704528284716,1.203959846627857,-0.4911745976983295,-0.0999999999999999,0.4007620217989788,0.8728885715695383,stable,Y
RIF,ALM,RIF,ALM,1.279863761726549,2.7505010394927183,4.857069023600501,0.6906265121396977,4.527498812303856,1.869242989077444,1.7769977728111377,0.5301826467074509,0.1999999999999999,0.3580650494010586,0.747060078104662,variable,Y
AWA,ASE,AWA,ASE,14.12186437093076,17.347306558654253,8.076285036067969,13.494637424422647,14.281029538378112,3.3618746094169074,0.6272269465081131,-0.0762871610614095,-0.0999999999999999,0.902962465716705,0.8728885715695383,stable,Y
AWC,ASE,AWC,ASE,3.502952926936981,10.53461667303266,4.5077579077983145,1.6578668073957668,1.8904881392548367,3.6147273717316377,1.6124647876821443,-0.4304934954061781,-0.6,0.4693136518805685,0.2847569798652937,stable,Y
ASI,ASG,ASI,ASG,3.1420947715561773,9.476681651146237,4.248334689657391,11.370511919097956,7.434101283051829,3.4564657665347047,3.1857665933944386,0.3571751606746787,0.4999999999999999,0.5550939609126156,0.3910022189557705,developmentally dynamic (strengthened),Y
AIM,ASG,AIM,ASG,19.293226525027844,21.648556453403486,10.258766513404549,12.86302212865658,17.71440961899123,4.686706731528944,3.9341468344122568,-0.2190494283138275,-0.4999999999999999,0.723344353240639,0.3910022189557705,stable,Y
ADL,ASH,ADL,ASH,0.4243798640729037,5.020598501292038,4.11351053897473,2.655730552463056,4.085786872932321,1.7969414572332234,0.934811628359717,0.4996755886430349,0.0999999999999999,0.3913599723370518,0.8728885715695383,developmentally dynamic (strengthened),Y
RIF,ASH,RIF,ASH,10.54488539731679,3.119000207602714,6.170469235630302,4.205482782669548,0.1926380475617538,3.849612978960658,1.964986452960754,-0.8573541345640258,-0.7,0.0632710141977326,0.1881204043741873,developmentally dynamic (weakened),Y
PVQ,ASJ,PVQ,ASJ,5.0164551468702525,8.072008911174102,4.251762487611962,1.1953040566654063,1.795744361823791,2.755945192718104,2.456018125788171,-0.6378034112915321,-0.7999999999999999,0.2469561021447492,0.1040880386618278,stable,Y
ASJ,ASK,ASJ,ASK,6.5819226816226575,8.337916923197268,8.866059365529445,4.737996221624423,7.913963826471229,1.6572183886936849,0.9520955390582158,0.1123074980631706,-0.0999999999999999,0.8573068209218458,0.8728885715695383,stable,Y
AIM,ASK,AIM,ASK,4.156636908117302,9.813371729228203,7.868086647245058,5.255199015269549,9.509566085601223,2.5289211492989625,1.9452850819831449,0.5424512236315469,0.3,0.3448809652130649,0.6238376647810728,stable,Y
PVQ,ASK,PVQ,ASK,18.175368290558087,38.62571524943849,22.976408079079604,13.004062287912976,14.824611041036867,10.286673427135224,4.801039788521518,-0.3919627850049779,-0.6,0.514028354924344,0.2847569798652937,stable,Y
ADF,AUA,ADF,AUA,6.733674422013574,8.739881808443592,5.453698726785839,6.781729947023775,1.747294610384909,2.597169324984898,1.2799756952277352,-0.8218709976560941,-0.4999999999999999,0.0877965296043941,0.3910022189557705,stable,Y
AIN,AUA,AIN,AUA,16.366063334068528,13.23258696485233,18.08088942372329,16.269196691972724,4.720490472461312,5.332569648840059,1.8116927317505684,-0.7752615651040249,-0.4999999999999999,0.1234919886395013,0.3910022189557705,stable,Y
AVH,AWB,AVH,AWB,11.234975896453877,28.47817213032886,23.410584865366413,15.720064400527134,7.702461381298935,8.568602759663587,7.690520464839279,-0.3984119636637608,-0.3999999999999999,0.5064854234398635,0.5046315754686911,stable,Y
