Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_SEM,standard deviation,median absolute deviation,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
AWB,ADF,AWB,ADF,0.1543365431669509,0.2909958483455782,0.3513891675486479,0.3748760630574099,0.382714784771854,0.094601740041208,0.031325617223206,0.8244241767551774,1.0,0.0859506359678831,1.4042654220543672e-24,stable,Y
AWA,ADL,AWA,ADL,0.1567382026574776,0.1336879199054907,0.0561223085673447,0.0264857854582391,0.0259697616287269,0.0614900968523213,0.0301525469386178,-0.8394371978112365,-1.0,0.0753450687144897,1.4042654220543672e-24,developmentally dynamic (weakened),Y
ADL,ASK,ADL,ASK,0.3472606922938131,0.2625016613212781,0.1483938693545445,0.0316137188043643,0.0371787631816997,0.1388620777908817,0.1141077919667336,-0.862148833313034,-0.8999999999999998,0.060153259635777,0.0373860734684987,developmentally dynamic (weakened),Y
AIA,ASK,AIA,ASK,0.2842239958874735,0.1870248816980236,0.2226154883356501,0.0725742939897807,0.0451716605037899,0.1010995629062891,0.0971991141894499,-0.8758710503899058,-0.8999999999999998,0.0515095036612005,0.0373860734684987,stable,Y
AIN,AUA,AIN,AUA,0.2309422038869051,0.1757100255188892,0.181610777022842,0.1681210356176823,0.0513773152681491,0.066331399054393,0.0075889899012069,-0.9708904490563192,-0.8999999999999998,0.0059358329183416,0.0373860734684987,stable,Y
OLQV,IL2L/R,OLQV,IL2L/R,0.427660191558775,0.3680794670090136,0.3042613670666425,0.3244669189427466,0.2410263283153908,0.0699087812595781,0.043612548066267,-0.9611720402608648,-0.8999999999999998,0.009130719805257,0.0373860734684987,stable,Y
CEPD,OLL,CEPD,OLL,0.3558384509777684,0.3547881462748507,0.3324793577540599,0.1736295602995231,0.2335485023459343,0.0822580331188766,0.0233590932237084,-0.6621022697011916,-0.8999999999999998,0.2234455408702571,0.0373860734684987,stable,Y
CEPV,OLL,CEPV,OLL,0.3569001240464421,0.3899068856101813,0.2604637492544649,0.2212080968777285,0.183562559585233,0.0881794850372356,0.0769011896692319,-0.8503403911445401,-0.8999999999999998,0.0679192517756461,0.0373860734684987,stable,Y
RIV,SAAD,RIV,SAAD,0.6347575384490757,0.6121111102177973,0.4103146834444427,0.4968117403466638,0.2958101720567979,0.141396339546184,0.1152993698711334,-0.9200546724061024,-0.8999999999999998,0.0268068517241088,0.0373860734684987,stable,Y
SMBV,SAAD,SMBV,SAAD,0.7316244533448479,0.5895395622806469,0.5640001640695956,0.4449793499699683,0.2695087057719374,0.1731550148283187,0.1190208140996273,-0.9849568359834416,-1.0,0.0022098369883713,1.4042654220543672e-24,stable,Y
