Unit: nm2,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,BDUL,BDUR,DVC,PVCL,PVCR,PVNL,PVNR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,HSNL,HSNR,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DR01,BWM-VL01,BWM-VR01,BWM-DL02,BWM-DR02,BWM-VL02,BWM-VR02,BWM-DL03,BWM-DR03,BWM-VL03,BWM-VR03,BWM-DL04,BWM-DR04,BWM-VL04,BWM-VR04,BWM-DL05,BWM-DR05,BWM-VL05,BWM-VR05,BWM-DL06,BWM-DR06,BWM-VL06,BWM-VR06,BWM-DL07,BWM-DR07,BWM-VL07,BWM-VR07,BWM-DL08,BWM-DR08,BWM-VL08,BWM-VR08,CANL,CANR,CEPshDL,CEPshDR,CEPshVL,CEPshVR,GLRDL,GLRDR,GLRL,GLRR,GLRVL,GLRVR,excgl
ADFL,,1,1,,1,,,,,,1,1,1,1,,1,,1,,1,,,,1,1,,1,,1,1,1,1,,1,1,1,1,,,,,,,,,,,1,,,,1,1,,1,,,,,1,,,,1,,1,1,1,,1,1,,1,1,1,1,1,1,1,1,,,1,,1,,,1,,,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,1,1,1,,1,,,,,1,,,,,,1,1,,,1,,1,1,,,1,1,,,,,,,1,1,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ADFR,1,,,1,,1,,,,,1,1,1,,1,1,1,,1,,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,,1,,,1,1,1,,,,,,,1,,,,1,,1,,1,1,1,1,1,,1,1,1,1,1,,1,,1,1,1,1,,1,1,1,,,1,1,,1,,1,1,1,1,1,1,1,1,,1,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,1,1,1,,1,,,1,,,,,,1,,,1,,1,,1,1,1,1,1,1,1,,,,1,1,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ADLL,1,,1,1,,,1,,,,1,1,,1,,1,,1,1,1,1,1,1,,,,1,,1,,1,1,,,1,,,1,,1,,,,1,,1,,1,,,,,,1,,,,1,,1,,1,,1,,1,,1,1,1,,1,1,1,,1,,1,1,1,1,1,1,1,,1,,,1,1,,,1,,1,,,,,,1,,1,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,1,1,,,,1,,,1,,,1,,,,1,,1,1,1,1,1,1,1,1,1,,,,1,,1,,1,1,1,1,1,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
ADLR,,1,1,,,1,,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,,,,1,1,,1,1,1,,,1,,,,1,,1,,,,1,,1,,1,,,1,,1,1,,,,1,,1,,1,,1,,1,1,1,,1,1,1,,1,,1,,1,1,1,1,1,,1,1,1,,1,1,,,,1,,,,,,,1,1,,1,,,,,1,1,,1,,1,,,,1,1,,,,,,,,,,,,,,1,,,,1,,1,,,,,1,1,,,1,,,,,,1,1,,1,1,1,1,1,1,1,,,,,,,1,,1,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
AFDL,1,,1,1,,1,1,1,,,,1,1,1,,1,,1,1,1,1,1,1,1,1,,1,,1,,1,1,,1,,,,1,1,1,1,,,1,1,1,1,,,,,,,1,1,,,1,,1,1,1,1,,,,,1,,1,1,1,1,1,1,1,,,,,,1,1,1,1,,,,,,,,,,,,1,,1,,1,,1,,,1,,,,1,1,1,1,1,,,1,,,,,,,,,,,1,,,,,1,1,,,1,1,,,,1,1,,1,1,1,,,,,,,,1,1,,,,,1,,1,,,,1,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
AFDR,,1,,1,1,,,,,,,1,1,,1,,1,,1,,,,1,1,1,1,,1,,1,1,1,1,,1,,,,1,,1,,,,1,,1,,,,,,,1,1,,,,,,1,,1,,,,,,1,,1,1,1,1,1,,1,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,1,,,1,,1,,1,,,,1,,,,,,,1,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALML,,,1,,,,,,1,,1,,,,,1,,,,1,,1,,,,1,1,,,,,,,,1,,,1,,1,,,,,,,,1,,,,,1,1,,1,,1,,1,,1,,1,,1,,,,,,1,,,,,,1,,1,,1,1,1,,1,,,1,1,1,1,1,,1,,,,,,1,,,,,1,,1,,,1,,1,,,,1,,,1,1,,,1,,,,,,1,1,1,,1,1,,1,1,1,1,,1,,,,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,,,,1,,1,,,,1,,1,1,1,,1,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
ALMR,,1,,1,,,1,,,1,1,,1,,,1,1,,,,1,,1,,,1,1,1,1,1,,,1,,1,1,1,1,,,1,,,,,1,,,1,,,1,1,,1,,1,,1,1,1,1,1,,1,,1,,,,,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,1,1,,1,,,1,,1,1,1,1,,1,,,1,1,1,,,,1,,,,,,,,,1,1,1,,1,1,1,1,1,1,,,1,1,,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,,,1,1,1,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ALNL,1,,,1,,,1,1,,,,1,1,,,1,1,,1,1,1,,,,,,1,,1,,,,,,1,,,,,,,,,1,1,,1,1,,,,1,1,1,1,1,,1,,1,1,1,1,1,,1,,,,,,1,,1,,1,,1,1,1,1,1,1,,,1,1,,1,1,,,1,1,1,,1,,,,1,1,1,,,,1,,,1,,1,1,,,,1,1,1,1,,1,,1,,,,,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,1,1,1,1,,1,,,1,,1,1,1,1,1,1,,1,1,,1,,,1,,,,,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNR,,,1,1,,,1,1,,,,,,,,1,1,1,,,1,,,,,,,1,,1,,,,,1,,1,,,,1,,,1,1,1,,,1,,,1,1,1,1,,1,,1,1,1,1,1,,1,1,1,,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,1,1,1,,,1,,,1,1,1,1,1,1,,,,1,,,1,1,,,1,1,1,1,1,,1,1,,,,,1,1,1,1,1,,,1,1,,1,1,1,,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,1,1,,,1,1,,1,,,,1,1,1,,1,,1,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
